lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-6.75,-67.25,lowprec_pft,lowprec,pft,2.416182,27.867182,2.416182,0.3291909,0.3251171,0.3385826
-6.75,-66.75,lowprec_pft,lowprec,pft,2.424665,27.903666,2.424665,0.3287668,0.32554276,0.3387027
-6.75,-66.25,lowprec_pft,lowprec,pft,2.437548,27.91499,2.437548,0.3281226,0.3256749,0.3392525
-6.75,-65.75,lowprec_pft,lowprec,pft,2.889408,26.682255,2.889408,0.30552958,0.31129297,0.3721183
-6.75,-65.25,lowprec_pft,lowprec,pft,3,30,3,0.3,0.35,0.35
-6.75,-64.75,lowprec_pft,lowprec,pft,3,30,3,0.3,0.35,0.35
-6.75,-64.25,lowprec_pft,lowprec,pft,2.492651,27.89244,2.492651,0.32536747,0.3254118,0.34219555
-6.25,-68.75,lowprec_pft,lowprec,pft,2.407266,27.948704,2.407266,0.32963676,0.3260682,0.33745743
-6.25,-68.25,lowprec_pft,lowprec,pft,2.407666,27.922325,2.407666,0.32961666,0.32576042,0.33769726
-6.25,-67.75,lowprec_pft,lowprec,pft,2.408367,27.907375,2.408367,0.3295816,0.32558605,0.3378569
-6.25,-67.25,lowprec_pft,lowprec,pft,2.41032,27.908794,2.41032,0.329484,0.32560257,0.3379427
-6.25,-66.75,lowprec_pft,lowprec,pft,2.411517,27.9346,2.411517,0.3294242,0.3259037,0.3377875
-6.25,-66.25,lowprec_pft,lowprec,pft,2.411933,27.928843,2.411933,0.32940334,0.3258365,0.33785633
-6.25,-65.75,lowprec_pft,lowprec,pft,2.418164,27.870388,2.418164,0.3290918,0.3251545,0.33865498
-6.25,-65.25,lowprec_pft,lowprec,pft,2.422296,27.883968,2.422296,0.3288852,0.32531296,0.33874844
-6.25,-64.75,lowprec_pft,lowprec,pft,2.413885,27.9817,2.413885,0.32930573,0.32645317,0.3375134
-6.25,-64.25,lowprec_pft,lowprec,pft,2.412642,28.005322,2.412642,0.32936783,0.32672874,0.3372544
-6.25,-63.75,lowprec_pft,lowprec,pft,2.431122,27.926975,2.431122,0.3284439,0.3258147,0.33883133
-6.25,-63.25,lowprec_pft,lowprec,pft,2.440914,27.872887,2.440914,0.32795433,0.32518368,0.3397716
-6.25,-62.75,lowprec_pft,lowprec,pft,2.431308,27.886543,2.431308,0.32843456,0.325343,0.33917744
-5.75,-69.75,lowprec_pft,lowprec,pft,2.410787,27.957048,2.410787,0.32946064,0.32616554,0.33756397
-5.75,-69.25,lowprec_pft,lowprec,pft,2.407701,28.003014,2.407701,0.32961494,0.3267018,0.3370266
-5.75,-68.75,lowprec_pft,lowprec,pft,2.406639,28.011055,2.406639,0.32966805,0.32679565,0.33690643
-5.75,-68.25,lowprec_pft,lowprec,pft,2.406822,27.972553,2.406822,0.32965893,0.32634644,0.3372365
-5.75,-67.75,lowprec_pft,lowprec,pft,2.406792,27.947124,2.406792,0.32966038,0.3260498,0.3374469
-5.75,-67.25,lowprec_pft,lowprec,pft,2.408866,27.973478,2.408866,0.32955666,0.32635723,0.33733097
-5.75,-66.75,lowprec_pft,lowprec,pft,2.410322,27.969622,2.410322,0.32948387,0.32631226,0.33743587
-5.75,-66.25,lowprec_pft,lowprec,pft,2.412743,27.905144,2.412743,0.32936283,0.32556004,0.3380943
-5.75,-65.75,lowprec_pft,lowprec,pft,2.416961,27.883537,2.416961,0.32915195,0.32530792,0.33848522
-5.75,-65.25,lowprec_pft,lowprec,pft,2.417135,27.90066,2.417135,0.32914333,0.3255077,0.33835125
-5.75,-64.75,lowprec_pft,lowprec,pft,2.412497,28.0037,2.412497,0.3293751,0.32670982,0.3372607
-5.75,-64.25,lowprec_pft,lowprec,pft,2.411613,28.022158,2.411613,0.32941936,0.3269252,0.3370627
-5.75,-63.75,lowprec_pft,lowprec,pft,2.412145,28.0289,2.412145,0.32939266,0.32700382,0.33703304
-5.75,-63.25,lowprec_pft,lowprec,pft,2.409928,28.04905,2.409928,0.3295036,0.32723892,0.3367543
-5.75,-62.75,lowprec_pft,lowprec,pft,2.414793,28.000532,2.414793,0.3292603,0.3266729,0.33740185
-5.75,-62.25,lowprec_pft,lowprec,pft,3,30,3,0.3,0.35,0.35
-5.75,-59.75,lowprec_pft,lowprec,pft,2.477813,28.233185,2.477813,0.32610935,0.32938713,0.33861416
-5.75,-59.25,lowprec_pft,lowprec,pft,2.429332,28.10944,2.429332,0.32853336,0.3279435,0.33722122
-5.75,-58.75,lowprec_pft,lowprec,pft,2.460326,28.21552,2.460326,0.32698368,0.32918106,0.33788696
-5.75,-58.25,lowprec_pft,lowprec,pft,2.927508,27.825237,2.927508,0.30362461,0.32462776,0.36449844
-5.25,-71.25,lowprec_pft,lowprec,pft,2.449886,27.893806,2.449886,0.3275057,0.32542774,0.34004593
-5.25,-70.75,lowprec_pft,lowprec,pft,2.412144,27.979416,2.412144,0.3293928,0.3264265,0.3374454
-5.25,-70.25,lowprec_pft,lowprec,pft,2.40724,28.037848,2.40724,0.329638,0.32710823,0.33671326
-5.25,-69.75,lowprec_pft,lowprec,pft,2.407228,28.048943,2.407228,0.32963856,0.32723766,0.33662025
-5.25,-69.25,lowprec_pft,lowprec,pft,2.406525,28.077156,2.406525,0.32967373,0.32756683,0.33634995
-5.25,-68.75,lowprec_pft,lowprec,pft,2.405962,28.072872,2.405962,0.32970184,0.32751686,0.33635746
-5.25,-68.25,lowprec_pft,lowprec,pft,2.407015,28.020851,2.407015,0.32964924,0.32690994,0.3368436
-5.25,-67.75,lowprec_pft,lowprec,pft,2.408106,27.986544,2.408106,0.32959473,0.32650967,0.33718407
-5.25,-67.25,lowprec_pft,lowprec,pft,2.410463,28.016495,2.410463,0.3294768,0.3268591,0.3370523
-5.25,-66.75,lowprec_pft,lowprec,pft,2.411195,27.972681,2.411195,0.3294403,0.32634796,0.3374541
-5.25,-66.25,lowprec_pft,lowprec,pft,2.412373,27.934046,2.412373,0.32938133,0.3258972,0.33783497
-5.25,-65.75,lowprec_pft,lowprec,pft,2.419061,27.912659,2.419061,0.329047,0.32564766,0.3383476
-5.25,-65.25,lowprec_pft,lowprec,pft,2.420655,27.900536,2.420655,0.3289673,0.32550625,0.33852833
-5.25,-64.75,lowprec_pft,lowprec,pft,2.414788,27.950035,2.414788,0.3292606,0.32608376,0.33782238
-5.25,-64.25,lowprec_pft,lowprec,pft,2.413679,28.006153,2.413679,0.32931602,0.32673847,0.33729935
-5.25,-63.75,lowprec_pft,lowprec,pft,2.410978,28.058802,2.410978,0.3294511,0.32735268,0.3367255
-5.25,-63.25,lowprec_pft,lowprec,pft,2.406728,28.07218,2.406728,0.32966362,0.32750877,0.3364016
-5.25,-62.75,lowprec_pft,lowprec,pft,2.408318,28.04372,2.408318,0.32958412,0.32717674,0.33671825
-5.25,-62.25,lowprec_pft,lowprec,pft,2.420307,27.928825,2.420307,0.32898464,0.3258363,0.3382751
-5.25,-61.75,lowprec_pft,lowprec,pft,2.88585,26.575512,2.88585,0.30570751,0.31004763,0.37282997
-5.25,-59.75,lowprec_pft,lowprec,pft,2.431321,28.124249,2.431321,0.328434,0.32811623,0.3371973
-5.25,-59.25,lowprec_pft,lowprec,pft,2.422889,27.946278,2.422889,0.32885555,0.3260399,0.33825882
-5.25,-58.75,lowprec_pft,lowprec,pft,2.43166,28.156876,2.43166,0.32841698,0.32849686,0.3369424
-5.25,-58.25,lowprec_pft,lowprec,pft,2.907389,27.221678,2.907389,0.30463053,0.31758625,0.36852215
-5.25,-53.25,lowprec_pft,lowprec,pft,3,30,3,0.3,0.35,0.35
-4.75,-72.25,lowprec_pft,lowprec,pft,2.458651,27.819788,2.458651,0.3270674,0.3245642,0.341101
-4.75,-71.75,lowprec_pft,lowprec,pft,2.449805,27.885977,2.449805,0.32750973,0.32533638,0.34010708
-4.75,-71.25,lowprec_pft,lowprec,pft,2.41875,27.945261,2.41875,0.3290625,0.32602806,0.3380603
-4.75,-70.75,lowprec_pft,lowprec,pft,2.407499,28.038652,2.407499,0.32962505,0.3271176,0.3367196
-4.75,-70.25,lowprec_pft,lowprec,pft,2.405983,28.073614,2.405983,0.3297009,0.32752552,0.33635242
-4.75,-69.75,lowprec_pft,lowprec,pft,2.406119,28.103085,2.406119,0.32969402,0.32786934,0.3361136
-4.75,-69.25,lowprec_pft,lowprec,pft,2.406012,28.10742,2.406012,0.32969936,0.32791992,0.3360721
-4.75,-68.75,lowprec_pft,lowprec,pft,2.40541,28.095623,2.40541,0.32972946,0.3277823,0.33614033
-4.75,-68.25,lowprec_pft,lowprec,pft,2.406054,28.088682,2.406054,0.32969727,0.3277013,0.3362303
-4.75,-67.75,lowprec_pft,lowprec,pft,2.40618,28.095062,2.40618,0.329691,0.32777573,0.3361835
-4.75,-67.25,lowprec_pft,lowprec,pft,2.408414,28.109879,2.408414,0.32957924,0.3279486,0.33617165
-4.75,-66.75,lowprec_pft,lowprec,pft,2.409743,28.030201,2.409743,0.3295129,0.327019,0.3369022
-4.75,-66.25,lowprec_pft,lowprec,pft,2.410128,27.94189,2.410128,0.3294936,0.32598873,0.33765728
-4.75,-65.75,lowprec_pft,lowprec,pft,2.415033,27.914478,2.415033,0.32924835,0.32566887,0.338131
-4.75,-65.25,lowprec_pft,lowprec,pft,2.416291,27.895504,2.416291,0.32918545,0.32544754,0.33835205
-4.75,-64.75,lowprec_pft,lowprec,pft,2.416542,27.904743,2.416542,0.32917294,0.32555534,0.3382875
