lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-8.25,-61.75,nclim_pft,nclim,pft,2.469151,27.852913,2.469151,0.32654247,0.32495064,0.3413499
-8.25,-61.25,nclim_pft,nclim,pft,2.416174,27.9865,2.416174,0.32919132,0.32650917,0.33758785
-8.25,-60.75,nclim_pft,nclim,pft,2.399759,28.091694,2.399759,0.330012,0.32773643,0.3358905
-8.25,-60.25,nclim_pft,nclim,pft,2.399048,28.099419,2.399048,0.33004757,0.32782654,0.3357906
-8.25,-59.75,nclim_pft,nclim,pft,2.399074,28.098404,2.399074,0.33004635,0.3278147,0.33580036
-7.75,-64.75,nclim_pft,nclim,pft,2.414707,27.758347,2.414707,0.32926464,0.3238474,0.33941578
-7.75,-64.25,nclim_pft,nclim,pft,2.427344,27.726707,2.427344,0.3286328,0.32347824,0.3403113
-7.75,-63.75,nclim_pft,nclim,pft,2.873377,26.201303,2.873377,0.30633116,0.30568188,0.37532463
-7.75,-63.25,nclim_pft,nclim,pft,2.87916,26.3748,2.87916,0.306042,0.307706,0.374168
-7.75,-62.75,nclim_pft,nclim,pft,2.901435,27.043058,2.901435,0.30492825,0.31550234,0.36971294
-7.75,-61.75,nclim_pft,nclim,pft,3,30,3,0.3,0.35,0.35
-7.75,-61.25,nclim_pft,nclim,pft,2.474972,27.90834,2.474972,0.3262514,0.3255973,0.34117905
-7.75,-60.75,nclim_pft,nclim,pft,2.411222,28.026794,2.411222,0.32943893,0.3269793,0.3370045
-7.75,-60.25,nclim_pft,nclim,pft,2.399094,28.099771,2.399094,0.33004528,0.32783066,0.3357899
-7.75,-59.75,nclim_pft,nclim,pft,2.399044,28.102541,2.399044,0.3300478,0.32786297,0.3357644
-7.75,-59.25,nclim_pft,nclim,pft,2.398857,28.100166,2.398857,0.33005714,0.32783527,0.33577477
-7.75,-58.75,nclim_pft,nclim,pft,2.398742,28.08604,2.398742,0.3300629,0.32767048,0.33588673
-7.25,-66.25,nclim_pft,nclim,pft,2.407048,27.804382,2.407048,0.32964756,0.32438446,0.3386492
-7.25,-65.75,nclim_pft,nclim,pft,2.406451,27.853085,2.406451,0.3296774,0.32495266,0.3382135
-7.25,-65.25,nclim_pft,nclim,pft,2.406066,27.902294,2.406066,0.3296967,0.32552677,0.33778416
-7.25,-64.75,nclim_pft,nclim,pft,2.407723,27.893902,2.407723,0.3296138,0.32542885,0.33793694
-7.25,-64.25,nclim_pft,nclim,pft,2.409485,27.861689,2.409485,0.32952576,0.32505302,0.3382935
-7.25,-63.75,nclim_pft,nclim,pft,2.408098,27.861797,2.408098,0.3295951,0.3250543,0.33822323
-7.25,-63.25,nclim_pft,nclim,pft,2.412089,27.856365,2.412089,0.3293956,0.32499092,0.3384681
-7.25,-62.75,nclim_pft,nclim,pft,2.431205,27.776064,2.431205,0.3284397,0.32405407,0.34009304
-7.25,-60.75,nclim_pft,nclim,pft,2.427918,27.955656,2.427918,0.3286041,0.32614933,0.33843216
-7.25,-60.25,nclim_pft,nclim,pft,2.39885,28.095995,2.39885,0.3300575,0.3277866,0.33580925
-7.25,-59.75,nclim_pft,nclim,pft,2.39884,28.102028,2.39884,0.330058,0.32785698,0.33575844
-7.25,-59.25,nclim_pft,nclim,pft,2.398926,28.106638,2.398926,0.3300537,0.32791077,0.33572433
-7.25,-58.75,nclim_pft,nclim,pft,2.398566,28.096603,2.398566,0.3300717,0.3277937,0.33578995
-7.25,-58.25,nclim_pft,nclim,pft,2.400027,28.071936,2.400027,0.32999863,0.3275059,0.33606857
-6.75,-67.25,nclim_pft,nclim,pft,2.402654,27.869102,2.402654,0.3298673,0.32513954,0.33789017
-6.75,-66.75,nclim_pft,nclim,pft,2.403859,27.89368,2.403859,0.32980705,0.3254263,0.33774563
-6.75,-66.25,nclim_pft,nclim,pft,2.406765,27.886768,2.406765,0.3296617,0.3253456,0.3379485
-6.75,-65.75,nclim_pft,nclim,pft,2.40699,27.875761,2.40699,0.3296505,0.3252172,0.3380515
-6.75,-65.25,nclim_pft,nclim,pft,2.406965,27.913673,2.406965,0.3296517,0.3256595,0.3377343
-6.75,-64.75,nclim_pft,nclim,pft,2.404591,27.967484,2.404591,0.32977043,0.32628727,0.3371672
