"","ny","nx","lat","lon","clima","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"1",166,225,-6.75,-67.25,"lowprec",3069642200,2.188576,2.059724,1.074634,103.12387,4.790672,0.251774,11.781135,0.904832,0.925335,9.950968,2.416182,27.867182,2.416182,32.91909,32.51171,33.85826,-0.473806578056078,0.329924475520529,1.90031749384978e-07,-4.48461976276793e-07,-1.13018569341834e-06,-4.35139551915684e-16
"2",166,226,-6.75,-66.75,"lowprec",3069642200,2.128512,2.038154,1.095327,92.95758,5.039339,0.24605,12.430344,0.916275,0.943007,10.571062,2.424665,27.903666,2.424665,32.87668,32.554276,33.87027,-0.398831011506665,0.263211726235133,4.82632703180386e-06,1.64074731941882e-06,-4.88618016055093e-07,-3.58119008391387e-16
"3",166,227,-6.75,-66.25,"lowprec",3069642200,2.019678,1.929092,1.128968,77.481026,5.106676,0.237584,13.254767,0.940777,0.978977,11.335013,2.437548,27.91499,2.437548,32.81226,32.56749,33.92525,-0.261711798646842,0.213637146362533,6.42252444595093e-07,-1.3136058702283e-06,7.45033449279391e-07,-2.01242367953496e-16
"4",166,228,-6.75,-65.75,"lowprec",3069642200,1.542388,1.851126,0.872082,68.481064,5.318388,0.181553,10.562006,0.802919,0.962023,8.797064,2.889408,26.682255,2.889408,30.552958,31.129297,37.21183,5.40697535805919,0.388051273063089,-1.29561744388607e-06,-1.94820221044445e-06,-2.67574482300248e-07,3.38787229193349e-15
"5",166,229,-6.75,-65.25,"lowprec",3069642200,0.531287,0.710687,0.307816,63.11899,5.415586,0.156522,8.115283,0.30162,0.351891,7.461772,3,30,3,30,35,35,4.88580310967972,-3.81763245455914,-9.15057013495257e-09,-6.02660203963268e-08,8.37992852539826e-09,4.48301712435333e-15
"6",166,230,-6.75,-64.75,"lowprec",3069642200,0.857412,1.092727,0.474694,66.9168,5.464996,0.170818,9.229107,0.4485,0.52325,8.257356,3,30,3,30,35,35,4.88580310967972,-3.81763245455914,-9.15057013495257e-09,-6.02660203963268e-08,8.37992852539826e-09,4.48301712435333e-15
"7",166,231,-6.75,-64.25,"lowprec",3069642200,1.497387,1.50892,0.827169,77.23686,5.317409,0.217517,11.379063,0.687568,0.762537,9.928957,2.492651,27.89244,2.492651,32.536747,32.54118,34.219555,0.362187357172241,0.0849259680354786,1.95261162141969e-06,5.59252074400218e-07,-9.67515667756047e-09,2.20558948733689e-16
"8",167,222,-6.25,-68.75,"lowprec",3072695800,2.762944,2.293575,1.225824,98.133446,4.283163,0.280657,13.434736,1.027548,1.040024,11.367165,2.407266,27.948704,2.407266,32.963676,32.60682,33.745743,-0.615825350936759,0.259347051777706,5.68397859677938e-06,2.19034490397951e-06,-6.42027285135439e-07,-5.48653027734953e-16
"9",167,223,-6.25,-68.25,"lowprec",3072695800,2.634532,2.230006,1.178806,102.12235,4.334373,0.27492,12.887594,0.994006,1.007274,10.886314,2.407666,27.922325,2.407666,32.961666,32.576042,33.769726,-0.597466122816353,0.289181529236981,-4.42254503182221e-06,-4.1498218143754e-07,-1.7946059120426e-06,-4.7338307093465e-16
"10",167,224,-6.25,-67.75,"lowprec",3072695800,2.582389,2.217165,1.165891,99.84797,4.391281,0.270596,12.752513,0.985688,1.000016,10.766809,2.408367,27.907375,2.408367,32.95816,32.558605,33.78569,-0.581796707777406,0.304753116351116,-4.69338582844564e-06,-2.08695070395837e-06,3.83131232650248e-07,-4.89741832440581e-16
"11",167,225,-6.25,-67.25,"lowprec",3072695800,2.598097,2.239927,1.185759,98.70428,4.538773,0.269831,13.070725,1.00121,1.017588,11.051928,2.41032,27.908794,2.41032,32.9484,32.560257,33.79427,-0.56085729578992,0.297589660145983,-8.53058478536561e-07,1.51933987420361e-06,-1.22539602021368e-06,-5.05663318519485e-16
"12",167,226,-6.25,-66.75,"lowprec",3072695800,3.033858,2.482709,1.431173,86.53354,4.827705,0.288038,15.80423,1.202792,1.222421,13.379017,2.411517,27.9346,2.411517,32.94242,32.59037,33.77875,-0.561174108165617,0.263927623825561,4.81062726805787e-06,1.6550084016298e-06,1.57251512751056e-06,-3.70698720822059e-16
"13",167,227,-6.25,-66.25,"lowprec",3072695800,3.499772,2.712675,1.687576,74.66511,4.934154,0.305853,18.255104,1.409083,1.432313,15.413708,2.411933,27.928843,2.411933,32.940334,32.58365,33.785633,-0.553512008149388,0.269514688494592,8.87632469956379e-08,-2.43295065571747e-06,-1.51822224551349e-07,-4.53859828205128e-16
"14",167,228,-6.25,-65.75,"lowprec",3072695800,3.375134,2.66423,1.712332,65.32082,4.993478,0.294692,18.356993,1.433655,1.467405,15.455933,2.418164,27.870388,2.418164,32.90918,32.51545,33.865498,-0.453483822966275,0.32057976457092,5.21772518594088e-08,-1.87252095593116e-07,-1.28023937697201e-06,-4.4937932930975e-16
"15",167,229,-6.25,-65.25,"lowprec",3072695800,3.365872,2.676627,1.749247,59.140507,5.045592,0.294082,19.110516,1.472172,1.510944,16.1274,2.422296,27.883968,2.422296,32.88852,32.531296,33.874844,-0.414751332939699,0.293003298688927,1.15661691875435e-06,-2.27899761488098e-06,-7.93008872353174e-08,-3.59757138772596e-16
"16",167,230,-6.25,-64.75,"lowprec",3072695800,3.514573,2.879769,1.623141,71.85259,5.242473,0.285137,17.968044,1.345387,1.367357,15.255301,2.413885,27.9817,2.413885,32.930573,32.645317,33.75134,-0.559705128320548,0.201974053893816,-2.51046670213251e-06,2.99994276281579e-07,1.86322586989349e-07,-4.11467888420442e-16
"17",167,231,-6.25,-64.25,"lowprec",3072695800,3.617272,2.894033,1.64424,75.859856,5.189147,0.29141,18.17799,1.351553,1.371411,15.455025,2.412642,28.005322,2.412642,32.936783,32.672874,33.72544,-0.58596346690718,0.177747419285928,-7.72393611445099e-06,-6.98408742061396e-07,-7.36934917128403e-07,-4.65344294274175e-16
"18",167,232,-6.25,-63.75,"lowprec",3072695800,2.512941,2.259191,1.27875,81.07974,5.109571,0.254302,15.048256,1.076583,1.113394,12.858279,2.431122,27.926975,2.431122,32.84439,32.58147,33.883133,-0.339402532537857,0.217667586103827,5.10693683522523e-07,-1.05773701947198e-06,-4.35993195191473e-07,-2.80611667241977e-16
