ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
166,225,-6.75,-67.25,0,3069642200.0,2.188576,2.059724,1.074634,103.12387,4.790672,0.251774,11.781135,0.904832,0.925335,9.950968,2.416182,27.867182,2.416182,32.91909,32.51171,33.85826
166,226,-6.75,-66.75,1,3069642200.0,2.128512,2.038154,1.095327,92.95758,5.039339,0.24605,12.430344,0.916275,0.943007,10.571062,2.424665,27.903666,2.424665,32.87668,32.554276,33.87027
166,227,-6.75,-66.25,1,3069642200.0,2.019678,1.929092,1.128968,77.481026,5.106676,0.237584,13.254767,0.940777,0.978977,11.335013,2.437548,27.91499,2.437548,32.81226,32.56749,33.92525
166,228,-6.75,-65.75,1,3069642200.0,1.542388,1.851126,0.872082,68.481064,5.318388,0.181553,10.562006,0.802919,0.962023,8.797064,2.889408,26.682255,2.889408,30.552958,31.129297,37.21183
166,229,-6.75,-65.25,1,3069642200.0,0.531287,0.710687,0.307816,63.11899,5.415586,0.156522,8.115283,0.30162,0.351891,7.461772,3.0,30.0,3.0,30.0,35.0,35.0
166,230,-6.75,-64.75,1,3069642200.0,0.857412,1.092727,0.474694,66.9168,5.464996,0.170818,9.229107,0.4485,0.52325,8.257356,3.0,30.0,3.0,30.0,35.0,35.0
166,231,-6.75,-64.25,1,3069642200.0,1.497387,1.50892,0.827169,77.23686,5.317409,0.217517,11.379063,0.687568,0.762537,9.928957,2.492651,27.89244,2.492651,32.536747,32.54118,34.219555
167,222,-6.25,-68.75,0,3072695800.0,2.762944,2.293575,1.225824,98.133446,4.283163,0.280657,13.434736,1.027548,1.040024,11.367165,2.407266,27.948704,2.407266,32.963676,32.60682,33.745743
167,223,-6.25,-68.25,0,3072695800.0,2.634532,2.230006,1.178806,102.12235,4.334373,0.27492,12.887594,0.994006,1.007274,10.886314,2.407666,27.922325,2.407666,32.961666,32.576042,33.769726
167,224,-6.25,-67.75,0,3072695800.0,2.582389,2.217165,1.165891,99.84797,4.391281,0.270596,12.752513,0.985688,1.000016,10.766809,2.408367,27.907375,2.408367,32.95816,32.558605,33.78569
