ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
163,236,-8.25,-61.75,1,3059080000.0,1.925927,1.704813,0.905357,75.16534,5.075436,0.217415,12.386421,0.757934,0.818775,10.809713,2.469151,27.852913,2.469151,32.654247,32.495064,34.13499
163,237,-8.25,-61.25,1,3059080000.0,4.975218,3.306664,1.833536,73.38296,4.988734,0.329954,19.421492,1.424697,1.453271,16.543526,2.416174,27.9865,2.416174,32.919132,32.650917,33.758785
163,238,-8.25,-60.75,1,3059080000.0,5.673025,3.630665,2.04236,75.03062,4.951865,0.349353,20.958784,1.545469,1.551558,17.86176,2.399759,28.091694,2.399759,33.0012,32.773643,33.58905
163,239,-8.25,-60.25,1,3059080000.0,5.663223,3.625343,2.037879,77.367134,4.936081,0.348766,20.919487,1.539636,1.54461,17.835243,2.399048,28.099419,2.399048,33.004757,32.782654,33.57906
163,240,-8.25,-59.75,0,3059080000.0,5.69702,3.645056,2.051964,78.68082,4.971777,0.349145,21.043245,1.54974,1.554843,17.938662,2.399074,28.098404,2.399074,33.004635,32.78147,33.580036
164,230,-7.75,-64.75,1,3062834000.0,3.006765,2.710059,1.449365,92.066956,5.859231,0.260099,14.736182,1.211243,1.240487,12.284451,2.414707,27.758347,2.414707,32.926464,32.38474,33.941578
164,231,-7.75,-64.25,1,3062834000.0,2.597853,2.440752,1.298846,93.17997,5.888908,0.245337,13.538644,1.084039,1.123278,11.331326,2.427344,27.726707,2.427344,32.86328,32.347824,34.03113
164,232,-7.75,-63.75,0,3062834000.0,1.719483,2.056721,0.889406,87.7049,6.007472,0.185351,9.684698,0.815914,0.98325,7.885533,2.873377,26.201303,2.873377,30.633116,30.568188,37.532463
164,233,-7.75,-63.25,0,3062834000.0,1.734091,2.076749,0.929444,84.67271,5.911231,0.186266,10.484012,0.850066,1.022308,8.611637,2.87916,26.3748,2.87916,30.6042,30.7706,37.4168
164,234,-7.75,-62.75,0,3062834000.0,1.105194,1.414834,0.628623,80.888725,5.770931,0.16947,8.854452,0.574078,0.686205,7.59417,2.901435,27.043058,2.901435,30.492825,31.550234,36.971294
164,236,-7.75,-61.75,1,3062834000.0,0.629461,0.853944,0.367439,68.52819,5.3515,0.157272,8.463017,0.347655,0.405598,7.709765,3.0,30.0,3.0,30.0,35.0,35.0
164,237,-7.75,-61.25,1,3062834000.0,1.791763,1.563131,0.822966,73.24104,5.033781,0.209054,11.911465,0.688459,0.748283,10.474723,2.474972,27.90834,2.474972,32.62514,32.55973,34.117905
164,238,-7.75,-60.75,1,3062834000.0,5.364606,3.455526,1.926042,73.37498,4.974002,0.340657,20.114494,1.485432,1.5067,17.122362,2.411222,28.026794,2.411222,32.943893,32.69793,33.70045
