ny,nx,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
165,227,-7.25,-66.25,pftlowprec,lowprec,3,20,3,0.35,0.2,0.45
165,228,-7.25,-65.75,pftlowprec,lowprec,3,20,3,0.35,0.2,0.45
166,225,-6.75,-67.25,pftlowprec,lowprec,2.463802,24.574125,2.564401,0.337157,0.273093,0.385268
166,226,-6.75,-66.75,pftlowprec,lowprec,2.458828,24.871273,2.553522,0.336646,0.27746,0.381502
166,227,-6.75,-66.25,pftlowprec,lowprec,2.461653,25.095644,2.550231,0.335913,0.28088,0.378761
166,228,-6.75,-65.75,pftlowprec,lowprec,2.694808,23.25229,2.820996,0.328457,0.254066,0.412195
166,229,-6.75,-65.25,pftlowprec,lowprec,3,26.071499,3,0.319642,0.291072,0.389285
166,230,-6.75,-64.75,pftlowprec,lowprec,2.716772,23.782412,2.843259,0.328062,0.259762,0.40915
166,231,-6.75,-64.25,pftlowprec,lowprec,2.48404,24.998518,2.57724,0.335332,0.27908,0.381486
166,234,-6.75,-62.75,pftlowprec,lowprec,3,20,3,0.35,0.2,0.45
166,241,-6.75,-59.25,pftlowprec,lowprec,3,25.738583,3,0.321307,0.286079,0.392614
166,242,-6.75,-58.75,pftlowprec,lowprec,3,25.740915,3,0.321295,0.286114,0.392591
167,222,-6.25,-68.75,pftlowprec,lowprec,2.460815,24.642986,2.560962,0.3372,0.273998,0.384449
167,223,-6.25,-68.25,pftlowprec,lowprec,2.457901,24.674461,2.556797,0.337154,0.274576,0.383811
167,224,-6.25,-67.75,pftlowprec,lowprec,2.458165,24.662836,2.557114,0.337153,0.274429,0.383932
167,225,-6.25,-67.25,pftlowprec,lowprec,2.461842,24.616936,2.562197,0.337186,0.273655,0.384758
167,226,-6.25,-66.75,pftlowprec,lowprec,2.462392,24.634117,2.562663,0.337169,0.273854,0.384634
167,227,-6.25,-66.25,pftlowprec,lowprec,2.457788,24.707882,2.555307,0.337048,0.275132,0.383305
167,228,-6.25,-65.75,pftlowprec,lowprec,2.457767,24.731636,2.553269,0.33686,0.27567,0.382774
167,229,-6.25,-65.25,pftlowprec,lowprec,2.463308,24.622515,2.562448,0.337043,0.273848,0.384599
167,230,-6.25,-64.75,pftlowprec,lowprec,2.463317,24.667448,2.563617,0.337131,0.274235,0.38441
167,231,-6.25,-64.25,pftlowprec,lowprec,2.463057,24.684662,2.563309,0.337132,0.274448,0.384242
167,232,-6.25,-63.75,pftlowprec,lowprec,2.456882,25.131577,2.545142,0.336004,0.281419,0.378132
167,233,-6.25,-63.25,pftlowprec,lowprec,2.462797,25.058018,2.552089,0.335867,0.280386,0.379231
167,234,-6.25,-62.75,pftlowprec,lowprec,2.459258,24.971825,2.550973,0.336293,0.279053,0.380178
167,236,-6.25,-61.75,pftlowprec,lowprec,3,25.741734,3,0.321291,0.286126,0.392583
167,238,-6.25,-60.75,pftlowprec,lowprec,3,25.741693,3,0.321292,0.286125,0.392583
168,220,-5.75,-69.75,pftlowprec,lowprec,2.46222,24.662298,2.562566,0.337161,0.274189,0.384395
168,221,-5.75,-69.25,pftlowprec,lowprec,2.461327,24.695263,2.561522,0.337171,0.274607,0.384044
168,222,-5.75,-68.75,pftlowprec,lowprec,2.460968,24.700218,2.561123,0.337177,0.274675,0.383976
168,223,-5.75,-68.25,pftlowprec,lowprec,2.460803,24.668514,2.560962,0.337192,0.274301,0.384234
168,224,-5.75,-67.75,pftlowprec,lowprec,2.460652,24.644884,2.560805,0.337203,0.274023,0.384424
168,225,-5.75,-67.25,pftlowprec,lowprec,2.45874,24.737732,2.557764,0.337118,0.275302,0.383344
168,226,-5.75,-66.75,pftlowprec,lowprec,2.462149,24.662855,2.562313,0.337166,0.274207,0.384363
168,227,-5.75,-66.25,pftlowprec,lowprec,2.445547,25.153187,2.531155,0.336298,0.28203,0.37694
168,228,-5.75,-65.75,pftlowprec,lowprec,2.458325,24.703947,2.554959,0.336942,0.275198,0.383221
168,229,-5.75,-65.25,pftlowprec,lowprec,2.458493,24.714844,2.554917,0.336934,0.275339,0.38311
168,230,-5.75,-64.75,pftlowprec,lowprec,2.463007,24.672192,2.563123,0.337138,0.274309,0.384327
168,231,-5.75,-64.25,pftlowprec,lowprec,2.46284,24.6954,2.563041,0.337133,0.274583,0.384132
168,232,-5.75,-63.75,pftlowprec,lowprec,2.463122,24.697353,2.563294,0.337128,0.274602,0.384129
168,233,-5.75,-63.25,pftlowprec,lowprec,2.462423,24.714445,2.562546,0.337136,0.274822,0.383936
168,234,-5.75,-62.75,pftlowprec,lowprec,2.463689,24.67784,2.563918,0.33712,0.274357,0.384334
168,235,-5.75,-62.25,pftlowprec,lowprec,2.713667,23.778107,2.843337,0.32841,0.259371,0.40952
168,237,-5.75,-61.25,pftlowprec,lowprec,3,25.744581,3,0.321277,0.286169,0.392554
168,238,-5.75,-60.75,pftlowprec,lowprec,3,25.742409,3,0.321288,0.286136,0.392576
