ny,nx,lat,lon,approach,clima,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
163,234,-8.25,-62.75,pftnclim,nclim,3059080000,0.69998,1.079462,0.392475,78.93618,5.785912,0.139886,4.931674,0.414697,0.533182,3.983795,3,20,3,0.35,0.2,0.45
163,235,-8.25,-62.25,pftnclim,nclim,3059080000,0.598258,0.891135,0.334995,77.20865,5.364706,0.145097,7.59275,0.354466,0.433118,6.805166,3,26.096544,3,0.319517,0.291448,0.389035
163,236,-8.25,-61.75,pftnclim,nclim,3059080000,2.136161,1.925029,0.933474,77.66015,5.048318,0.215053,11.569859,0.807651,0.982849,9.779359,2.475661,24.996283,2.568951,0.335523,0.2792,0.381021
163,237,-8.25,-61.25,pftnclim,nclim,3059080000,4.978325,3.382597,1.69608,76.37618,4.957444,0.313261,15.869817,1.362493,1.587693,12.919631,2.452837,24.910202,2.546945,0.336699,0.278118,0.380718
163,238,-8.25,-60.75,pftnclim,nclim,3059080000,5.475245,3.617665,1.857581,77.83704,4.923087,0.32809,17.061754,1.454827,1.645958,13.960969,2.435585,25.344896,2.519983,0.336453,0.284576,0.374569
163,239,-8.25,-60.25,pftnclim,nclim,3059080000,5.460489,3.608658,1.851832,80.26576,4.906683,0.327539,17.023874,1.448033,1.63693,13.93891,2.435066,25.35455,2.519351,0.336464,0.284706,0.374443
163,240,-8.25,-59.75,pftnclim,nclim,3059080000,5.493315,3.628531,1.864784,81.62522,4.941744,0.327913,17.118267,1.457629,1.647864,14.012773,2.435068,25.35363,2.519342,0.336464,0.284696,0.374449
164,230,-7.75,-64.75,pftnclim,nclim,3062834000,2.963517,2.782523,1.354523,95.40107,5.821454,0.249232,12.073767,1.172516,1.351589,9.549663,2.446043,25.010466,2.53255,0.336319,0.280274,0.37829
164,231,-7.75,-64.25,pftnclim,nclim,3062834000,2.606899,2.552504,1.235499,96.5007,5.851096,0.236177,11.303902,1.068724,1.247641,8.987536,2.454321,24.949114,2.542374,0.336116,0.279314,0.379491
164,232,-7.75,-63.75,pftnclim,nclim,3062834000,1.641327,1.923317,0.825829,97.94513,5.891623,0.188118,8.124609,0.736294,0.9709,6.417416,2.671615,22.740894,2.805935,0.330321,0.247088,0.416617
164,233,-7.75,-63.25,pftnclim,nclim,3062834000,1.672931,1.996851,0.866731,94.04657,5.803431,0.1867,8.699931,0.788414,1.028699,6.882819,2.686828,23.061546,2.814115,0.328832,0.251783,0.413525
164,234,-7.75,-62.75,pftnclim,nclim,3062834000,1.106794,1.438541,0.606708,90.1636,5.666087,0.168999,7.790283,0.560709,0.728886,6.500689,2.702091,23.414251,2.828655,0.328451,0.255692,0.411379
164,236,-7.75,-61.75,pftnclim,nclim,3062834000,0.741174,1.063814,0.404708,78.209816,5.239813,0.152261,8.647107,0.409791,0.530577,7.706739,2.729568,24.363512,2.864784,0.328182,0.265453,0.406365
164,237,-7.75,-61.25,pftnclim,nclim,3062834000,2.004337,1.790399,0.86171,75.64143,5.008266,0.205964,11.305285,0.744462,0.910595,9.650226,2.478425,25.034407,2.571929,0.335445,0.27959,0.380891
164,238,-7.75,-60.75,pftnclim,nclim,3062834000,5.264371,3.496785,1.77855,76.07416,4.946176,0.322708,16.591394,1.415445,1.619187,13.556762,2.442478,25.26087,2.528389,0.336254,0.283397,0.375864
164,239,-7.75,-60.25,pftnclim,nclim,3062834000,5.41186,3.568444,1.843416,75.781006,4.80653,0.328815,17.042305,1.446396,1.634916,13.960993,2.435144,25.355618,2.519449,0.336464,0.284714,0.374442
164,240,-7.75,-59.75,pftnclim,nclim,3062834000,5.401251,3.559402,1.841848,75.17492,4.773624,0.329349,17.052256,1.444596,1.632712,13.974948,2.435085,25.358717,2.519376,0.336464,0.284753,0.37441
164,241,-7.75,-59.25,pftnclim,nclim,3062834000,5.437968,3.593647,1.844321,81.28547,4.880889,0.327848,16.995676,1.443992,1.632003,13.919681,2.434904,25.356813,2.51917,0.336468,0.284736,0.374412
164,242,-7.75,-58.75,pftnclim,nclim,3062834000,5.494886,3.645641,1.849245,87.536156,5.054638,0.326,16.923885,1.450396,1.639744,13.833746,2.434767,25.344347,2.519053,0.336475,0.28459,0.374511
165,227,-7.25,-66.25,pftnclim,nclim,3066355000,3.159094,2.767449,1.388545,94.97305,5.43118,0.266899,12.367316,1.20091,1.372793,9.793613,2.440982,25.07349,2.526509,0.336445,0.281159,0.377338
