ny,nx,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
163,234,-8.25,-62.75,pftnclim,nclim,3,20,3,0.35,0.2,0.45
163,235,-8.25,-62.25,pftnclim,nclim,3,26.096544,3,0.319517,0.291448,0.389035
163,236,-8.25,-61.75,pftnclim,nclim,2.475661,24.996283,2.568951,0.335523,0.2792,0.381021
163,237,-8.25,-61.25,pftnclim,nclim,2.452837,24.910202,2.546945,0.336699,0.278118,0.380718
163,238,-8.25,-60.75,pftnclim,nclim,2.435585,25.344896,2.519983,0.336453,0.284576,0.374569
163,239,-8.25,-60.25,pftnclim,nclim,2.435066,25.35455,2.519351,0.336464,0.284706,0.374443
163,240,-8.25,-59.75,pftnclim,nclim,2.435068,25.35363,2.519342,0.336464,0.284696,0.374449
164,230,-7.75,-64.75,pftnclim,nclim,2.446043,25.010466,2.53255,0.336319,0.280274,0.37829
164,231,-7.75,-64.25,pftnclim,nclim,2.454321,24.949114,2.542374,0.336116,0.279314,0.379491
164,232,-7.75,-63.75,pftnclim,nclim,2.671615,22.740894,2.805935,0.330321,0.247088,0.416617
164,233,-7.75,-63.25,pftnclim,nclim,2.686828,23.061546,2.814115,0.328832,0.251783,0.413525
164,234,-7.75,-62.75,pftnclim,nclim,2.702091,23.414251,2.828655,0.328451,0.255692,0.411379
164,236,-7.75,-61.75,pftnclim,nclim,2.729568,24.363512,2.864784,0.328182,0.265453,0.406365
164,237,-7.75,-61.25,pftnclim,nclim,2.478425,25.034407,2.571929,0.335445,0.27959,0.380891
164,238,-7.75,-60.75,pftnclim,nclim,2.442478,25.26087,2.528389,0.336254,0.283397,0.375864
164,239,-7.75,-60.25,pftnclim,nclim,2.435144,25.355618,2.519449,0.336464,0.284714,0.374442
164,240,-7.75,-59.75,pftnclim,nclim,2.435085,25.358717,2.519376,0.336464,0.284753,0.37441
164,241,-7.75,-59.25,pftnclim,nclim,2.434904,25.356813,2.51917,0.336468,0.284736,0.374412
164,242,-7.75,-58.75,pftnclim,nclim,2.434767,25.344347,2.519053,0.336475,0.28459,0.374511
165,227,-7.25,-66.25,pftnclim,nclim,2.440982,25.07349,2.526509,0.336445,0.281159,0.377338
165,228,-7.25,-65.75,pftnclim,nclim,2.440504,25.118439,2.525804,0.336432,0.281723,0.376897
165,229,-7.25,-65.25,pftnclim,nclim,2.440198,25.162275,2.525343,0.336417,0.282265,0.376486
165,230,-7.25,-64.75,pftnclim,nclim,2.441459,25.15063,2.526718,0.336389,0.282099,0.376673
165,231,-7.25,-64.25,pftnclim,nclim,2.44264,25.117533,2.52817,0.336371,0.281667,0.377057
165,232,-7.25,-63.75,pftnclim,nclim,2.44158,25.120981,2.527082,0.336399,0.281726,0.376964
165,233,-7.25,-63.25,pftnclim,nclim,2.44435,25.108183,2.530309,0.336329,0.281501,0.377293
165,234,-7.25,-62.75,pftnclim,nclim,2.467193,24.501553,2.568429,0.33709,0.272136,0.386161
165,235,-7.25,-62.25,pftnclim,nclim,2.728558,24.324982,2.864279,0.328375,0.264875,0.40675
165,237,-7.25,-61.25,pftnclim,nclim,3,20,3,0.35,0.2,0.45
