nx,ny,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
201,187,3.75,-79.25,plsnclim,nclim,5.50077565511068,11.3482693831126,5.24591000874837,0.232300328711669,0.159328999618689,0.608370820681254
201,188,4.25,-79.25,plsnclim,nclim,3.71598749160767,23.2493003845215,4.20355658531189,0.291397503018379,0.263677300512791,0.444925099611282
201,189,4.75,-79.25,plsnclim,nclim,3.42054378986359,23.3104362487793,3.80803780555725,0.301712599396706,0.282221001386642,0.416066697239876
202,187,3.75,-78.75,plsnclim,nclim,2.18574268817902,25.9646377563477,2.19053030014038,0.321871700882912,0.360908004641533,0.317220199108124
202,188,4.25,-78.75,plsnclim,nclim,2.49918577671051,22.6849895477295,2.6941739320755,0.312893798947334,0.337017098069191,0.350089100003243
202,189,4.75,-78.75,plsnclim,nclim,2.20218050479889,25.6814970016479,2.30771653652191,0.313520604372025,0.362200704216957,0.324278903007507
202,190,5.25,-78.75,plsnclim,nclim,3.05047655105591,23.1021690368652,3.47819738388062,0.296796002984047,0.30277019739151,0.400433701276779
203,181,0.75,-78.25,plsnclim,nclim,3.23049590587616,23.9401224136353,2.95409488677979,0.35075389444828,0.304412698745728,0.344832998514175
203,182,1.25,-78.25,plsnclim,nclim,2.30425446033478,25.6538696289062,2.18155498504639,0.344672703742981,0.340868100523949,0.314459100365639
203,183,1.75,-78.25,plsnclim,nclim,2.34804329872131,25.5582855224609,2.19592471122742,0.338649302721024,0.346382701396942,0.314967799186707
203,184,2.25,-78.25,plsnclim,nclim,2.4056717634201,25.4452743530273,2.26143908500671,0.349216002225876,0.333438295125961,0.317345601320267
203,185,2.75,-78.25,plsnclim,nclim,2.23486769199371,25.5714069366455,2.37876794338226,0.314759096503258,0.361010399460793,0.324230301380157
203,186,3.25,-78.25,plsnclim,nclim,2.14318628311157,26.1793569564819,2.1414749622345,0.323232805728912,0.362147092819214,0.31462020277977
203,187,3.75,-78.25,plsnclim,nclim,2.14998090267181,26.2553491592407,2.07570961713791,0.326121497154236,0.362351003289223,0.311527800559998
203,188,4.25,-78.25,plsnclim,nclim,2.14545369148254,26.2278512954712,2.1063530921936,0.32502110004425,0.361999893188477,0.312979200482368
203,189,4.75,-78.25,plsnclim,nclim,2.13613460063934,26.2563289642334,2.10086870193481,0.326991400122642,0.360319399833679,0.312689605355263
203,190,5.25,-78.25,plsnclim,nclim,2.14577548503876,25.9789211273193,2.22118194103241,0.318441298604012,0.362362405657768,0.319196200370789
203,192,6.25,-78.25,plsnclim,nclim,3.69191288948059,29.3247146606445,3.45225191116333,0.394656002521515,0.263680011034012,0.341664999723434
203,193,6.75,-78.25,plsnclim,nclim,2.65976190567017,27.5441551208496,2.68750810623169,0.390614986419678,0.28616601228714,0.323217988014221
204,179,-0.25,-77.75,plsnclim,nclim,3.93833062648773,22.5910634994507,4.60924015045166,0.277475601434708,0.239849099516869,0.482675296068192
204,180,0.25,-77.75,plsnclim,nclim,2.26741209030151,25.9321956634521,2.24801290035248,0.327649196982384,0.354667797684669,0.317682904005051
204,181,0.75,-77.75,plsnclim,nclim,2.16947567462921,26.2030141830444,2.03095782995224,0.329813298583031,0.36144759953022,0.308739298582077
204,182,1.25,-77.75,plsnclim,nclim,2.13990092277527,26.2923069000244,2.01816781759262,0.330629399418831,0.361163201928139,0.30820719897747
204,183,1.75,-77.75,plsnclim,nclim,2.13683071136475,26.2825061798096,2.02752230167389,0.330589401721954,0.360692298412323,0.308718094229698
204,184,2.25,-77.75,plsnclim,nclim,2.13646998405457,26.2941835403442,2.04331676959991,0.329204702377319,0.361185997724533,0.309609401226044
204,185,2.75,-77.75,plsnclim,nclim,2.13746521472931,26.3266618728638,2.06381330490112,0.329209795594215,0.360251003503799,0.310538899898529
204,186,3.25,-77.75,plsnclim,nclim,2.14244031906128,26.3358785629272,2.05598737001419,0.330254203081131,0.359679099917412,0.310066604614258
204,187,3.75,-77.75,plsnclim,nclim,2.14654121398926,26.3549755096436,2.05360097885132,0.331047096848488,0.359232103824615,0.309720700979233
204,188,4.25,-77.75,plsnclim,nclim,2.1499103307724,26.3522762298584,2.05756480693817,0.330549600720406,0.359548798203468,0.309901696443558
204,189,4.75,-77.75,plsnclim,nclim,2.14005272388458,26.3195783615112,2.07252112627029,0.329667502641678,0.359384801983833,0.310947799682617
204,190,5.25,-77.75,plsnclim,nclim,2.15565791130066,26.0100570678711,2.19957311153412,0.319612503051758,0.362731799483299,0.317656004428864
204,192,6.25,-77.75,plsnclim,nclim,3.68441009521484,29.8415756225586,3.42171096801758,0.413271009922028,0.27114400267601,0.315584987401962
204,193,6.75,-77.75,plsnclim,nclim,4.75502502918243,14.2918453216553,4.17449998855591,0.28387950360775,0.14155550301075,0.5745649933815
204,194,7.25,-77.75,plsnclim,nclim,5.86774301528931,29.0348987579346,7.08119106292725,0.202074006199837,0.174392998218536,0.623533010482788
204,195,7.75,-77.75,plsnclim,nclim,5.73675203323364,18.8483823140462,6.44545443852742,0.23063932855924,0.1839366654555,0.58542400598526
205,178,-0.75,-77.25,plsnclim,nclim,2.29256362915039,25.9875467300415,2.13909478187561,0.340885302424431,0.347106999158859,0.312007597088814
205,179,-0.25,-77.25,plsnclim,nclim,2.16877901554108,26.425443649292,2.02292659282684,0.330018299818039,0.362116202712059,0.30786560177803
205,180,0.25,-77.25,plsnclim,nclim,2.1521764755249,26.3604364395142,2.02941062450409,0.331017997860909,0.360598900914192,0.308383402228355
205,181,0.75,-77.25,plsnclim,nclim,2.14820470809937,26.3351482391357,2.02377890348434,0.332772997021675,0.359206399321556,0.308020398020744
205,182,1.25,-77.25,plsnclim,nclim,2.14665803909302,26.3273685455322,2.01735148429871,0.333309400081635,0.358951196074486,0.307738995552063
205,183,1.75,-77.25,plsnclim,nclim,2.1459942817688,26.3209066390991,2.02157020568848,0.333105999231338,0.358920800685883,0.307973200082779
205,184,2.25,-77.25,plsnclim,nclim,2.14608042240143,26.3513278961182,2.02866115570068,0.332067701220512,0.359522393345833,0.308409598469734
205,185,2.75,-77.25,plsnclim,nclim,2.14797358512878,26.3396617889404,2.03719201087952,0.329292404651642,0.361805802583694,0.308901795744896
205,186,3.25,-77.25,plsnclim,nclim,2.1537889957428,26.3795427322388,2.04840250015259,0.331675997376442,0.359063002467155,0.30926119685173
205,187,3.75,-77.25,plsnclim,nclim,2.1600625038147,26.3897008895874,2.04956232309341,0.33276230096817,0.358206096291542,0.309031802415848
205,188,4.25,-77.25,plsnclim,nclim,2.16220390796661,26.4062030792236,2.04928158521652,0.333480301499367,0.357576498389244,0.308943402767181
205,189,4.75,-77.25,plsnclim,nclim,2.15001049041748,26.341942024231,2.06726688146591,0.332884299755096,0.356877300143242,0.310238301753998
205,190,5.25,-77.25,plsnclim,nclim,2.13934578895569,26.2471910476685,2.14313809871674,0.325108897686005,0.36048030257225,0.314410501718521
205,191,5.75,-77.25,plsnclim,nclim,3.78260769844055,22.8304912567139,4.49394187927246,0.276042598485947,0.253995700180531,0.469961702823639
205,192,6.25,-77.25,plsnclim,nclim,3.75082001686096,22.5456611633301,4.40135626792908,0.277818596363068,0.258235999941826,0.463945400714874
205,193,6.75,-77.25,plsnclim,nclim,4.68113803863525,18.0212015151978,5.27981286048889,0.252556796371937,0.19864020049572,0.548802998661995
205,194,7.25,-77.25,plsnclim,nclim,3.79924771785736,23.0152042388916,4.42025768756866,0.28689169883728,0.250899098813534,0.462209302186966
205,195,7.75,-77.25,plsnclim,nclim,4.42256178855896,20.990393447876,4.9831268787384,0.254097804427147,0.208003900945187,0.537898495793343
206,176,-1.75,-76.75,plsnclim,nclim,2.37992212772369,25.5823938369751,2.2098895072937,0.340882897377014,0.344259303808212,0.31485770046711
206,177,-1.25,-76.75,plsnclim,nclim,2.22251129150391,26.135165977478,2.04303181171417,0.334976702928543,0.356570199131966,0.30845300257206
206,178,-0.75,-76.75,plsnclim,nclim,2.15910320281982,26.3979463577271,2.00950610637665,0.331324899196625,0.361505401134491,0.307169300317764
206,179,-0.25,-76.75,plsnclim,nclim,2.15495948791504,26.4000038146973,2.02651320695877,0.333301398158073,0.358598399162292,0.30810050368309
206,180,0.25,-76.75,plsnclim,nclim,2.16288650035858,26.3826107025146,2.02773324251175,0.334081500768661,0.358022397756577,0.30789589881897
206,181,0.75,-76.75,plsnclim,nclim,2.16186940670013,26.394352722168,2.03043986558914,0.334175899624825,0.357711297273636,0.308112701773643
206,182,1.25,-76.75,plsnclim,nclim,2.15942978858948,26.3996809005737,2.02441132068634,0.334124702215195,0.358033204078674,0.307842200994492
206,183,1.75,-76.75,plsnclim,nclim,2.15787897109985,26.3983095169067,2.0205794095993,0.334177097678184,0.358220499753952,0.307602199912071
206,184,2.25,-76.75,plsnclim,nclim,2.15990591049194,26.4013004302979,2.02214360237122,0.333617597818375,0.358820003271103,0.307562297582626
206,185,2.75,-76.75,plsnclim,nclim,2.16176433563232,26.4210697174072,2.02935128211975,0.333142599463463,0.358831799030304,0.308025300502777
206,186,3.25,-76.75,plsnclim,nclim,2.16970319747925,26.4146184921265,2.04986749887466,0.332653200626373,0.358445999026299,0.308900699019432
206,187,3.75,-76.75,plsnclim,nclim,2.17748830318451,26.4373603820801,2.0560268163681,0.33274219930172,0.358315795660019,0.308941999077797
206,188,4.25,-76.75,plsnclim,nclim,2.17453649044037,26.4123765945435,2.04872990846634,0.333937695622444,0.357410100102425,0.308652198314667
206,189,4.75,-76.75,plsnclim,nclim,2.16326467990875,26.4030307769775,2.05646728277206,0.334312295913696,0.356478601694107,0.309209403395653
206,190,5.25,-76.75,plsnclim,nclim,2.14545500278473,26.279850769043,2.1212306022644,0.330984902381897,0.356041398644447,0.312973701953888
