# Exportar arquivo de mapa de cores gerado pela QGIS
INTERPOLATION:INTERPOLATED
0.215,68,1,84,255,0.215
5.46,71,20,103,255,5.46
10.7,71,38,119,255,10.7
16,69,55,129,255,16
21.2,63,70,137,255,21.2
26.4,57,85,139,255,26.4
31.7,50,99,141,255,31.7
36.9,44,112,142,255,36.9
42.2,40,125,142,255,42.2
47.4,34,138,142,255,47.4
52.7,31,150,139,255,52.7
57.9,32,163,134,255,57.9
63.2,41,175,127,255,63.2
68.4,60,188,116,255,68.4
73.7,86,199,102,255,73.7
78.9,115,208,85,255,78.9
84.1,148,216,64,255,84.1
89.4,184,223,41,255,89.4
94.6,220,227,25,255,94.6
99.9,253,231,37,255,99.9
