"","X","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"1",1,203,182,1.25,-78.25,"lowprec",0.0762429982423782,0.649335980415344,0.00643099984154105,150.428695678711,3.96468806266785,0.00654499977827072,0.00631600013002753,10.8266878128052,0.483934998512268,0.235885992646217,10.1068658828735,3.60746502876282,27.6353435516357,2.63191604614258,0.401089996099472,0.28404301404953,0.314868003129959,0.835542872921493,2.68869919284339,2.44118444043134,1.11317052716654,-0.0347290135423414,-9.86627376281524e-06
"2",2,204,181,0.75,-77.75,"lowprec",2.69471840858459,1.44532499313355,1.24939340353012,145.652928161621,4.01425204277039,0.00657799979671836,0.466410303115845,13.9348197937012,0.766507494449616,0.720050305128098,12.4482575416565,2.17395548820496,25.9287250518799,2.082770216465,0.32559429705143,0.360988402366638,0.313417500257492,1.41525526733033,0.0784833040115943,-0.302636477061195,0.0170065462709794,-0.00914644490726402,-2.03998760756052e-06
"3",3,204,182,1.25,-77.75,"lowprec",2.95066778659821,1.6418585896492,1.30880900621414,153.105853271484,4.28041391372681,0.0060259997844696,0.445973601937294,14.6925720214844,0.790298503637314,0.729199206829071,13.1730736732483,2.13779242038727,26.0712482452393,2.04153578281403,0.327948603034019,0.360711398720741,0.311340400576592,1.51365218737303,0.142694459282509,-0.278492528762182,0.0277997530926292,-0.0525810304134743,-4.20428363645531e-06
"4",4,204,183,1.75,-77.75,"lowprec",2.95043959617615,1.65278680324554,1.2976527929306,164.421273803711,4.388361120224,0.00535599980503321,0.442452296614647,14.5500563621521,0.779664701223373,0.73742790222168,13.0329606056213,2.13640681505203,26.0281139373779,2.07052359580994,0.326875901222229,0.360317403078079,0.312806499004364,1.47014847634718,0.113591335877,-0.291580931062633,0.00312082014447145,-0.0560014873001837,2.16066453523345e-06
"5",5,204,184,2.25,-77.75,"lowprec",1.95484268665314,1.46873631477356,0.646039295196533,164.129959106445,4.34915418624878,0.00527469995431602,0.262934899330139,3.62123591899872,0.576172494888306,0.825044906139374,2.22001789808273,2.97392330169678,14.6858791351318,3.35992197990417,0.336304098367691,0.244861097633839,0.41883479654789,-2.40646607999962,2.48820697581073,-1.29915357156925,-0.167796685120299,0.240430361595047,1.98085715608087e-08
"6",6,204,188,4.25,-77.75,"lowprec",0.0121799996122718,0.548629999160767,0.000345000007655472,126.035957336426,3.9786651134491,0.00732999993488193,0.000457999994978309,9.7883243560791,0.278726011514664,0.165215998888016,9.34438037872314,4.5100359916687,23.0235805511475,3.58408188819885,0.445811986923218,0.25329801440239,0.300891011953354,-0.290795997707607,4.97130753333009,3.25307552219343,1.02858029030295,1.01463569303299,-9.21386943841807e-06
"7",7,205,179,-0.25,-77.25,"lowprec",0.871335601806641,1.03856701850891,0.321734395623207,153.970318603516,3.63680169582367,0.00602650004439056,0.163612700998783,3.57896044254303,0.313928800821304,0.665247797966003,2.59978358745575,3.85343251228333,21.7686325073242,4.38271741867065,0.27007309794426,0.24734990298748,0.482576897740364,-3.79627926377699,-0.862491014433738,0.130491593236493,-0.113194719574313,-0.116416831874162,1.11168840066789e-06
"8",8,205,180,0.25,-77.25,"lowprec",2.84374098777771,1.65033440589905,1.19340660572052,155.709400939941,3.94242990016937,0.00610799994319677,0.420934900641441,13.3768978118896,0.736542999744415,0.75715280175209,11.883204460144,2.21072990894318,25.7769508361816,2.24995739459991,0.322260698676109,0.358843502402306,0.318895998597145,1.20391989004409,-0.00753998263454082,-0.283800365042531,-0.0883863879251655,0.00731103172607306,-2.04745562326636e-06
"9",9,205,181,0.75,-77.25,"lowprec",2.92388751506805,1.67173290252686,1.25215479135513,156.217674255371,4.0882303237915,0.00604799995198846,0.430348497629166,14.0703802108765,0.760792905092239,0.715296500921249,12.5942946434021,2.15333318710327,26.0802003860474,2.0821004986763,0.328274899721146,0.35864030122757,0.313084799051285,1.46348829259381,0.160664011963193,-0.242049623633995,0.0163834504801983,-0.0701203889012726,7.63112968926727e-08
"10",10,205,182,1.25,-77.25,"lowprec",2.95641179084778,1.6854975104332,1.27091419696808,162.198629760742,4.15307474136353,0.00574399996548891,0.432004800438881,14.2903386116028,0.774098896980286,0.708591890335083,12.8076451301575,2.14439768791199,26.1454620361328,2.04700918197632,0.330316001176834,0.358354699611664,0.311329400539398,1.52743646495046,0.223510124089081,-0.218361503335825,0.0417204040923378,-0.0847528496665205,-9.96650675877397e-07
"11",11,205,183,1.75,-77.25,"lowprec",2.94610750675201,1.68052308559418,1.26558451652527,175.268598937988,4.21186690330505,0.00512199988588691,0.431820806860924,14.2215424537659,0.768938195705414,0.711046206951141,12.7415570259094,2.14365420341492,26.1124513626099,2.05757150650024,0.329712703824043,0.358369797468185,0.311917597055435,1.5079166193403,0.207364436196806,-0.230233331393839,0.0313048005728794,-0.0823590953691909,-9.68742581597404e-07
"12",12,205,184,2.25,-77.25,"lowprec",2.90074317455292,1.6700749874115,1.23066841363907,175.773085021973,4.12890429496765,0.00513199996203184,0.42623690366745,13.8148797988892,0.751048713922501,0.733090901374817,12.3307361602783,2.16924970149994,25.9699691772461,2.14640560150146,0.326137199997902,0.358345198631287,0.315517801046371,1.36635567959928,0.103035283598072,-0.258029504798707,-0.0266092741522076,-0.0511403583735091,-2.0525599937482e-06
"13",13,205,185,2.75,-77.25,"lowprec",0.605674198269844,0.921563899517059,0.205055701732635,163.579035949707,4.01057200431824,0.0056258000433445,0.124215400218964,1.30556750297546,0.250594899058342,0.590334793925285,0.464637892134488,4.47391679286957,10.1534197926521,4.95017204284668,0.291259701550007,0.116524402052164,0.592215901613235,-7.22600719535915,2.02989202242696,-1.22690989946645,0.224978346875553,-0.243784872761103,-3.20162426348247e-07
