ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
165,227,-7.25,-66.25,lowprec,0,3066355000,0.564915,0.889439,0.299688,80.953575,5.582427,0.137361,4.635867,0.343025,0.441032,3.851809
165,228,-7.25,-65.75,lowprec,0,3066355000,0.680059,1.038307,0.363484,77.71917,5.652819,0.140957,5.203068,0.40469,0.520316,4.278062
166,225,-6.75,-67.25,lowprec,0,3069642200,2.136501,2.080705,0.995147,107.89866,4.748646,0.241852,9.868863,0.855175,1.014589,7.9991
166,226,-6.75,-66.75,lowprec,1,3069642200,2.118214,2.130514,1.029196,96.718254,5.003558,0.235606,10.801926,0.897176,1.052001,8.852748
166,227,-6.75,-66.25,lowprec,1,3069642200,2.041658,2.047339,1.088439,80.203545,5.077384,0.230208,11.577375,0.941012,1.104213,9.532151
166,228,-6.75,-65.75,lowprec,1,3069642200,1.459762,1.769312,0.804405,76.13778,5.232771,0.181334,8.862655,0.739772,0.960588,7.162295
166,229,-6.75,-65.25,lowprec,1,3069642200,0.708101,0.981775,0.391238,68.88938,5.349305,0.154506,8.306501,0.412364,0.504044,7.390092
166,230,-6.75,-64.75,lowprec,1,3069642200,0.881244,1.149178,0.465658,76.31992,5.361121,0.169317,7.932902,0.448832,0.579978,6.904092
166,231,-6.75,-64.25,lowprec,1,3069642200,1.59272,1.697226,0.816073,80.48235,5.28041,0.209479,10.754329,0.725212,0.889837,9.139279
166,234,-6.75,-62.75,lowprec,0,3069642200,0.553793,0.846662,0.289861,75.15928,5.496165,0.144497,5.466387,0.336538,0.432692,4.697157
166,241,-6.75,-59.25,lowprec,1,3069642200,0.186935,0.88068,0.029531,69.81723,4.621037,0.022416,11.149879,0.314253,0.384209,10.451417
166,242,-6.75,-58.75,lowprec,1,3069642200,0.156749,0.866227,0.019375,74.83276,4.577246,0.0152,10.844259,0.297349,0.363508,10.183402
167,222,-6.25,-68.75,lowprec,0,3072695800,2.664428,2.28977,1.119892,102.855316,4.244897,0.266615,11.136902,0.956476,1.124519,9.055907
167,223,-6.25,-68.25,lowprec,0,3072695800,2.551567,2.247629,1.07578,106.900856,4.295978,0.260286,10.655437,0.935125,1.093213,8.627099
167,224,-6.25,-67.75,lowprec,0,3072695800,2.503814,2.237616,1.065435,104.50439,4.353374,0.256266,10.559175,0.929415,1.0876,8.54216
167,225,-6.25,-67.25,lowprec,0,3072695800,2.518063,2.259908,1.083209,103.389404,4.499719,0.255532,10.962955,0.941736,1.111225,8.909994
167,226,-6.25,-66.75,lowprec,1,3072695800,2.939288,2.516672,1.304686,90.55017,4.789502,0.272603,13.292655,1.133615,1.337712,10.821329
167,227,-6.25,-66.25,lowprec,1,3072695800,3.397633,2.755521,1.547519,77.88361,4.899947,0.291129,14.943746,1.336959,1.560799,12.045987
167,228,-6.25,-65.75,lowprec,1,3072695800,3.311459,2.740424,1.587129,67.94053,4.963208,0.282028,14.996396,1.381127,1.614428,12.000842
167,229,-6.25,-65.25,lowprec,1,3072695800,3.307896,2.736808,1.633205,61.567463,5.016422,0.28352,15.942509,1.408117,1.66334,12.871052
167,230,-6.25,-64.75,lowprec,1,3072695800,3.42466,2.92884,1.477647,75.12017,5.206953,0.269705,15.192163,1.266295,1.495757,12.430111
167,231,-6.25,-64.25,lowprec,1,3072695800,3.517106,2.936232,1.492995,79.33068,5.151783,0.275138,15.344125,1.268851,1.497354,12.577919
167,232,-6.25,-63.75,lowprec,1,3072695800,2.527575,2.370618,1.219965,83.97756,5.078712,0.245052,13.095378,1.064161,1.240298,10.790917
167,233,-6.25,-63.25,lowprec,1,3072695800,2.288309,2.237613,1.144119,88.66276,5.198541,0.234774,12.20531,0.994572,1.171776,10.038962
167,234,-6.25,-62.75,lowprec,0,3072695800,2.665008,2.500438,1.292026,86.654785,5.261068,0.246343,13.516853,1.124235,1.318201,11.074418
167,236,-6.25,-61.75,lowprec,0,3072695800,0.154012,0.862566,0.013583,74.08665,5.408365,0.011637,11.826777,0.316696,0.387166,11.122914
167,238,-6.25,-60.75,lowprec,1,3072695800,0.168245,0.866748,0.027431,66.07217,5.165984,0.021571,12.080618,0.336368,0.411133,11.333117
168,220,-5.75,-69.75,lowprec,0,3075515400,2.68796,2.352278,1.13499,91.98756,4.175963,0.262687,11.933625,0.996749,1.175769,9.761106
168,221,-5.75,-69.25,lowprec,0,3075515400,2.846348,2.398579,1.164113,95.48202,4.066129,0.270836,12.127752,1.002632,1.179179,9.945941
168,222,-5.75,-68.75,lowprec,0,3075515400,2.879075,2.404937,1.164075,97.87336,4.05009,0.272293,12.043873,0.995632,1.169896,9.878345
168,223,-5.75,-68.25,lowprec,0,3075515400,2.707636,2.313759,1.112823,100.90441,4.077001,0.266364,11.343046,0.95747,1.125308,9.26027
168,224,-5.75,-67.75,lowprec,1,3075515400,2.659564,2.296003,1.105397,96.46906,4.132457,0.263346,11.073925,0.949604,1.116195,9.008126
168,225,-5.75,-67.25,lowprec,1,3075515400,2.773263,2.394914,1.157921,94.76935,4.285564,0.264221,12.218617,1.018057,1.19078,10.00978
168,226,-5.75,-66.75,lowprec,1,3075515400,3.143315,2.592579,1.38079,87.457275,4.61162,0.283599,14.189804,1.196356,1.409418,11.584031
168,227,-5.75,-66.25,lowprec,1,3075515400,3.581293,2.771349,1.679737,73.174805,4.74798,0.308683,15.918369,1.445916,1.655373,12.81708
168,228,-5.75,-65.75,lowprec,1,3075515400,3.328255,2.762197,1.563245,70.57729,5.059889,0.281659,14.872313,1.353747,1.584449,11.934117
168,229,-5.75,-65.25,lowprec,1,3075515400,3.613654,2.874777,1.701169,60.50001,5.044353,0.293478,16.111462,1.471843,1.720477,12.919142
168,230,-5.75,-64.75,lowprec,1,3075515400,3.842262,3.024082,1.660789,67.753555,5.067981,0.292105,16.518902,1.38703,1.635686,13.496187
168,231,-5.75,-64.25,lowprec,1,3075515400,3.65635,2.956034,1.526548,76.3375,4.985045,0.281779,15.628877,1.287454,1.518154,12.823269
168,232,-5.75,-63.75,lowprec,1,3075515400,3.736799,2.916462,1.589642,78.17881,4.82561,0.293647,16.16359,1.330255,1.569051,13.264286
168,233,-5.75,-63.25,lowprec,1,3075515400,3.885445,3.019343,1.589699,87.25647,5.085898,0.291892,16.224426,1.326431,1.562051,13.335945
168,234,-5.75,-62.75,lowprec,1,3075515400,3.754759,2.967426,1.63585,83.798225,5.187475,0.289598,16.710014,1.386365,1.637711,13.685938
168,235,-5.75,-62.25,lowprec,1,3075515400,0.811589,1.017739,0.439704,75.50719,5.412078,0.177584,9.078468,0.431757,0.56364,8.083071
168,237,-5.75,-61.25,lowprec,0,3075515400,0.108937,0.752098,0.005881,60.84372,5.18632,0.005883,11.92153,0.311396,0.38062,11.229513
168,238,-5.75,-60.75,lowprec,0,3075515400,0.14442,0.845207,0.016072,64.91547,5.329144,0.013531,12.145344,0.327397,0.400203,11.417745
168,240,-5.75,-59.75,lowprec,1,3075515400,1.305012,1.522828,0.71351,67.93044,5.14014,0.191962,10.994372,0.607627,0.740626,9.64612
168,241,-5.75,-59.25,lowprec,1,3075515400,2.814161,2.371571,1.171827,69.460976,4.973829,0.232289,13.290506,0.974985,1.13327,11.182251
168,242,-5.75,-58.75,lowprec,1,3075515400,1.590983,1.665317,0.792252,71.13549,4.710659,0.201396,11.170011,0.668665,0.800966,9.700379
168,243,-5.75,-58.25,lowprec,1,3075515400,0.991217,1.266303,0.524857,71.830795,4.587231,0.165666,8.716474,0.480569,0.620381,7.615523
169,217,-5.25,-71.25,lowprec,0,3078101000,2.0202,1.963226,0.927062,93.39554,4.669756,0.236314,10.536377,0.798919,0.951187,8.78627
169,218,-5.25,-70.75,lowprec,0,3078101000,3.009996,2.521596,1.226822,88.01715,4.356602,0.271825,12.878322,1.065391,1.238095,10.574836
169,219,-5.25,-70.25,lowprec,0,3078101000,3.286668,2.612032,1.269233,87.96817,4.187773,0.28073,13.314626,1.085208,1.267005,10.962414
169,220,-5.25,-69.75,lowprec,0,3078101000,3.189299,2.549452,1.248361,90.697075,4.046858,0.281042,13.080736,1.062302,1.234967,10.783467
169,221,-5.25,-69.25,lowprec,0,3078101000,3.229427,2.527095,1.238737,93.36727,3.95312,0.284253,13.070667,1.045417,1.207765,10.817486
169,222,-5.25,-68.75,lowprec,0,3078101000,3.189563,2.49575,1.208074,95.15961,3.903605,0.282318,12.701803,1.020462,1.178539,10.502802
169,223,-5.25,-68.25,lowprec,0,3078101000,2.873556,2.396401,1.13056,93.01077,3.908834,0.269995,11.926496,0.976385,1.139965,9.810146
169,224,-5.25,-67.75,lowprec,1,3078101000,2.703816,2.333297,1.102426,86.07871,3.920874,0.263113,11.655087,0.965615,1.128902,9.56057
169,225,-5.25,-67.25,lowprec,1,3078101000,2.915479,2.41347,1.254507,80.994385,4.096284,0.278979,13.362497,1.091113,1.257464,11.01392
169,226,-5.25,-66.75,lowprec,1,3078101000,3.163522,2.576531,1.402333,83.00765,4.430566,0.286761,14.451841,1.215505,1.432902,11.803434
169,227,-5.25,-66.25,lowprec,1,3078101000,3.020274,2.611918,1.3359,94.01324,4.902163,0.268087,13.441552,1.150414,1.358667,10.932471
169,228,-5.25,-65.75,lowprec,1,3078101000,2.826135,2.588752,1.289131,86.16446,5.198935,0.251021,13.086267,1.110234,1.319004,10.657028
169,229,-5.25,-65.25,lowprec,1,3078101000,3.077541,2.638366,1.481254,67.25585,5.107942,0.268719,14.542576,1.256849,1.493488,11.792239
169,230,-5.25,-64.75,lowprec,1,3078101000,3.353761,2.820986,1.493645,71.12527,4.974887,0.273708,15.070823,1.281641,1.514887,12.274294
169,231,-5.25,-64.25,lowprec,1,3078101000,3.517961,2.877131,1.498444,74.14942,4.837128,0.279192,15.496432,1.284628,1.500774,12.71103
169,232,-5.25,-63.75,lowprec,1,3078101000,3.772236,2.947449,1.539852,80.53136,4.815156,0.290671,15.93601,1.29609,1.50262,13.1373
169,233,-5.25,-63.25,lowprec,1,3078101000,4.256107,3.151728,1.643844,89.15481,4.991788,0.307153,16.214823,1.342977,1.567214,13.304633
169,234,-5.25,-62.75,lowprec,1,3078101000,4.264271,3.202558,1.695216,94.75196,5.349223,0.303808,16.60283,1.396553,1.631389,13.574889
169,235,-5.25,-62.25,lowprec,1,3078101000,3.784995,2.943528,1.71222,81.84675,5.392672,0.294497,16.973883,1.446902,1.715692,13.81129
169,236,-5.25,-61.75,lowprec,0,3078101000,1.728718,1.885112,0.949689,71.48953,5.484399,0.201267,11.143774,0.867527,1.135934,9.140313
169,237,-5.25,-61.25,lowprec,0,3078101000,0.094994,0.725387,0.001997,63.08758,5.391059,0.002118,11.756941,0.302921,0.370231,11.083788
169,239,-5.25,-60.25,lowprec,0,3078101000,0.130295,0.801717,0.008619,59.15909,5.32659,0.007319,12.165045,0.322365,0.394263,11.448416
169,240,-5.25,-59.75,lowprec,1,3078101000,2.438074,2.397652,1.28251,61.223907,5.302975,0.236305,14.504513,1.068825,1.242388,12.193299
169,241,-5.25,-59.25,lowprec,1,3078101000,4.890165,3.291698,1.672217,66.97997,5.143686,0.315853,16.035158,1.341646,1.584915,13.108598
169,242,-5.25,-58.75,lowprec,1,3078101000,2.185741,2.207543,1.087177,70.48225,4.853348,0.224641,12.804487,0.906804,1.054607,10.843076
169,243,-5.25,-58.25,lowprec,1,3078101000,1.32348,1.638985,0.696307,71.767456,4.70079,0.179697,9.363106,0.623018,0.807592,7.932496
169,246,-5.25,-56.75,lowprec,1,3078101000,0.156988,0.855165,0.012213,79.27351,4.848349,0.010285,10.827555,0.289456,0.353846,10.184252
169,247,-5.25,-56.25,lowprec,1,3078101000,0.11936,0.85068,0.008452,80.44567,5.070593,0.007284,10.881321,0.284813,0.348121,10.248386
169,248,-5.25,-55.75,lowprec,1,3078101000,0.134658,0.852781,0.010471,81.29971,5.18231,0.008917,10.800324,0.284719,0.348032,10.167574
169,249,-5.25,-55.25,lowprec,1,3078101000,0.119663,0.845701,0.001804,80.62539,5.2705,0.00164,10.76499,0.276814,0.338276,10.149899
169,250,-5.25,-54.75,lowprec,1,3078101000,0.121068,0.848401,0.005704,78.994255,5.22833,0.005144,10.932981,0.283932,0.347025,10.302025
169,251,-5.25,-54.25,lowprec,1,3078101000,0.187203,0.891526,0.028474,79.7909,5.218185,0.021451,11.16833,0.313375,0.383087,10.471869
169,253,-5.25,-53.25,lowprec,1,3078101000,0.850705,1.103265,0.443615,82.39074,5.072762,0.154444,8.347361,0.402682,0.519651,7.425026
170,215,-4.75,-72.25,lowprec,0,3080451800,2.206444,2.148898,1.009134,96.74606,5.147644,0.234502,11.186101,0.866887,1.041299,9.277915
170,216,-4.75,-71.75,lowprec,0,3080451800,2.092576,2.041934,0.96745,93.4653,4.833927,0.234189,10.843144,0.830227,0.988618,9.024299
170,217,-4.75,-71.25,lowprec,0,3080451800,2.840272,2.482087,1.211423,88.29366,4.513653,0.262986,12.772773,1.049843,1.222001,10.500929
170,218,-4.75,-70.75,lowprec,0,3080451800,3.397644,2.673948,1.308008,86.26639,4.241756,0.28396,13.627465,1.114629,1.296211,11.216627
170,219,-4.75,-70.25,lowprec,0,3080451800,3.486295,2.662188,1.306812,86.22793,4.083356,0.289323,13.653202,1.099994,1.273696,11.279511
170,220,-4.75,-69.75,lowprec,1,3080451800,3.513098,2.629079,1.301168,84.48029,3.952168,0.292954,13.751915,1.086176,1.251646,11.414093
170,221,-4.75,-69.25,lowprec,1,3080451800,3.447303,2.573416,1.270826,85.4941,3.839783,0.292314,13.437305,1.059559,1.218428,11.159317
170,222,-4.75,-68.75,lowprec,1,3080451800,3.372849,2.533899,1.231006,86.90844,3.780879,0.288703,13.005576,1.030973,1.190109,10.784493
170,223,-4.75,-68.25,lowprec,1,3080451800,3.247491,2.485577,1.199474,85.07831,3.757232,0.283833,12.73058,1.010535,1.162134,10.557912
170,224,-4.75,-67.75,lowprec,1,3080451800,3.314219,2.494666,1.213854,81.2531,3.740527,0.285313,12.97425,1.023511,1.17484,10.775899
170,225,-4.75,-67.25,lowprec,1,3080451800,3.524897,2.58141,1.38125,75.35792,3.845766,0.302878,14.867702,1.163932,1.331203,12.372567
170,226,-4.75,-66.75,lowprec,1,3080451800,3.385816,2.672097,1.442393,78.38019,4.307888,0.295434,15.069374,1.238936,1.434998,12.395441
170,227,-4.75,-66.25,lowprec,1,3080451800,3.036294,2.624589,1.29526,94.58572,4.77769,0.266882,12.851327,1.105965,1.303792,10.44157
170,228,-4.75,-65.75,lowprec,1,3080451800,2.973449,2.640136,1.352742,83.037575,5.068785,0.259894,13.28446,1.161793,1.366959,10.755709
170,229,-4.75,-65.25,lowprec,1,3080451800,2.983501,2.681895,1.394028,74.91185,5.120363,0.257977,13.391237,1.199978,1.407991,10.783268
170,230,-4.75,-64.75,lowprec,1,3080451800,3.178333,2.711832,1.482475,69.8161,4.957854,0.270338,14.392847,1.271019,1.496414,11.625414
170,231,-4.75,-64.25,lowprec,1,3080451800,3.74922,2.912603,1.620551,66.97637,4.700309,0.29694,16.659426,1.38653,1.622697,13.650198
170,232,-4.75,-63.75,lowprec,1,3080451800,4.191307,3.015265,1.604381,74.616974,4.67689,0.307346,16.448587,1.332349,1.572362,13.543877
170,233,-4.75,-63.25,lowprec,1,3080451800,4.682709,3.229824,1.710215,79.05513,4.823239,0.318233,16.514933,1.391265,1.618825,13.504843
170,234,-4.75,-62.75,lowprec,1,3080451800,4.330193,3.170468,1.712595,82.8155,5.088954,0.310383,16.728548,1.40407,1.643427,13.681051
170,235,-4.75,-62.25,lowprec,1,3080451800,3.18257,2.649001,1.396488,83.803345,5.378243,0.270512,15.054223,1.212639,1.427159,12.414425
170,236,-4.75,-61.75,lowprec,0,3080451800,2.828286,2.488879,1.355506,80.79064,5.552348,0.254832,14.86833,1.176068,1.391783,12.300479
