"","ny","nx","lat","lon","clima","forest","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood"
"1",163,234,-8.25,-62.75,"nclim",1,3059080000,0.69998,1.079462,0.392475,78.93618,5.785912,0.139886,4.931674,0.414697,0.533182,3.983795
"2",163,235,-8.25,-62.25,"nclim",1,3059080000,0.598258,0.891135,0.334995,77.20865,5.364706,0.145097,7.59275,0.354466,0.433118,6.805166
"3",163,236,-8.25,-61.75,"nclim",1,3059080000,2.136161,1.925029,0.933474,77.66015,5.048318,0.215053,11.569859,0.807651,0.982849,9.779359
"4",163,237,-8.25,-61.25,"nclim",1,3059080000,4.978325,3.382597,1.69608,76.37618,4.957444,0.313261,15.869817,1.362493,1.587693,12.919631
"5",163,238,-8.25,-60.75,"nclim",1,3059080000,5.475245,3.617665,1.857581,77.83704,4.923087,0.32809,17.061754,1.454827,1.645958,13.960969
"6",163,239,-8.25,-60.25,"nclim",1,3059080000,5.460489,3.608658,1.851832,80.26576,4.906683,0.327539,17.023874,1.448033,1.63693,13.93891
"7",163,240,-8.25,-59.75,"nclim",0,3059080000,5.493315,3.628531,1.864784,81.62522,4.941744,0.327913,17.118267,1.457629,1.647864,14.012773
"8",164,230,-7.75,-64.75,"nclim",1,3062834000,2.963517,2.782523,1.354523,95.40107,5.821454,0.249232,12.073767,1.172516,1.351589,9.549663
"9",164,231,-7.75,-64.25,"nclim",1,3062834000,2.606899,2.552504,1.235499,96.5007,5.851096,0.236177,11.303902,1.068724,1.247641,8.987536
"10",164,232,-7.75,-63.75,"nclim",0,3062834000,1.641327,1.923317,0.825829,97.94513,5.891623,0.188118,8.124609,0.736294,0.9709,6.417416
"11",164,233,-7.75,-63.25,"nclim",0,3062834000,1.672931,1.996851,0.866731,94.04657,5.803431,0.1867,8.699931,0.788414,1.028699,6.882819
"12",164,234,-7.75,-62.75,"nclim",0,3062834000,1.106794,1.438541,0.606708,90.1636,5.666087,0.168999,7.790283,0.560709,0.728886,6.500689
"13",164,236,-7.75,-61.75,"nclim",1,3062834000,0.741174,1.063814,0.404708,78.209816,5.239813,0.152261,8.647107,0.409791,0.530577,7.706739
"14",164,237,-7.75,-61.25,"nclim",1,3062834000,2.004337,1.790399,0.86171,75.64143,5.008266,0.205964,11.305285,0.744462,0.910595,9.650226
"15",164,238,-7.75,-60.75,"nclim",1,3062834000,5.264371,3.496785,1.77855,76.07416,4.946176,0.322708,16.591394,1.415445,1.619187,13.556762
"16",164,239,-7.75,-60.25,"nclim",1,3062834000,5.41186,3.568444,1.843416,75.781006,4.80653,0.328815,17.042305,1.446396,1.634916,13.960993
"17",164,240,-7.75,-59.75,"nclim",1,3062834000,5.401251,3.559402,1.841848,75.17492,4.773624,0.329349,17.052256,1.444596,1.632712,13.974948
"18",164,241,-7.75,-59.25,"nclim",1,3062834000,5.437968,3.593647,1.844321,81.28547,4.880889,0.327848,16.995676,1.443992,1.632003,13.919681
"19",164,242,-7.75,-58.75,"nclim",0,3062834000,5.494886,3.645641,1.849245,87.536156,5.054638,0.326,16.923885,1.450396,1.639744,13.833746
"20",165,227,-7.25,-66.25,"nclim",0,3066355000,3.159094,2.767449,1.388545,94.97305,5.43118,0.266899,12.367316,1.20091,1.372793,9.793613
"21",165,228,-7.25,-65.75,"nclim",0,3066355000,3.535204,2.980008,1.505001,91.18103,5.503386,0.274635,13.467901,1.284229,1.465405,10.718266
"22",165,229,-7.25,-65.25,"nclim",0,3066355000,3.928308,3.157152,1.61914,86.40098,5.532888,0.285471,14.563409,1.358161,1.548092,11.657156
"23",165,230,-7.25,-64.75,"nclim",1,3066355000,3.855206,3.120603,1.638451,81.56757,5.507785,0.285832,14.784459,1.380674,1.575855,11.82793
"24",165,231,-7.25,-64.25,"nclim",1,3066355000,3.578775,3.022517,1.579362,85.54132,5.557411,0.277868,14.232589,1.344206,1.537304,11.35108
"25",165,232,-7.25,-63.75,"nclim",0,3066355000,3.469693,2.978908,1.500497,95.10993,5.59774,0.271797,13.497053,1.275989,1.457878,10.763186
"26",165,233,-7.25,-63.25,"nclim",0,3066355000,3.400465,2.920761,1.508316,94.98815,5.608924,0.270816,13.848382,1.293027,1.482206,11.073149
"27",165,234,-7.25,-62.75,"nclim",0,3066355000,2.785998,2.522404,1.305583,91.528145,5.525887,0.249935,12.687139,1.106621,1.327023,10.253494
"28",165,235,-7.25,-62.25,"nclim",0,3066355000,0.724901,1.032507,0.383756,85.921165,5.45492,0.150775,8.057681,0.396573,0.515231,7.145877
"29",165,237,-7.25,-61.25,"nclim",1,3066355000,0.658245,1.016272,0.36247,69.12769,5.300771,0.140443,5.742847,0.387997,0.498853,4.855998
"30",165,238,-7.25,-60.75,"nclim",1,3066355000,3.935383,2.925863,1.44152,78.26186,4.956631,0.289347,14.757634,1.188721,1.395402,12.173511
"31",165,239,-7.25,-60.25,"nclim",1,3066355000,5.399728,3.564632,1.835095,75.12646,4.811337,0.328913,16.987612,1.44377,1.631653,13.912187
"32",165,240,-7.25,-59.75,"nclim",1,3066355000,5.37415,3.541896,1.832255,71.73278,4.739299,0.329663,17.028187,1.440796,1.628056,13.959334
"33",165,241,-7.25,-59.25,"nclim",1,3066355000,5.292699,3.491546,1.801153,75.22294,4.690231,0.328915,16.797363,1.415584,1.599578,13.7822
"34",165,242,-7.25,-58.75,"nclim",0,3066355000,5.276353,3.507779,1.768574,84.00906,4.813095,0.324083,16.363407,1.38882,1.569514,13.405072
"35",165,243,-7.25,-58.25,"nclim",0,3066355000,5.44699,3.625969,1.821021,88.79492,5.097258,0.32453,16.65636,1.43048,1.62007,13.605809
"36",166,225,-6.75,-67.25,"nclim",0,3069642200,3.001153,2.542299,1.22544,106.78315,4.758443,0.271817,11.221688,1.051984,1.196516,8.973188
"37",166,226,-6.75,-66.75,"nclim",1,3069642200,3.306455,2.742995,1.372798,96.102356,5.009411,0.282029,12.643411,1.171182,1.332585,10.139643
"38",166,227,-6.75,-66.25,"nclim",1,3069642200,3.775246,2.969798,1.637041,79.90479,5.080602,0.301207,14.78764,1.385254,1.580168,11.822216
"39",166,228,-6.75,-65.75,"nclim",1,3069642200,3.841108,3.063345,1.643944,78.211876,5.20913,0.292241,14.714661,1.389938,1.586229,11.738493
"40",166,229,-6.75,-65.25,"nclim",1,3069642200,4.18317,3.220495,1.743935,74.115974,5.289132,0.300486,15.670543,1.454231,1.658684,12.557628
"41",166,230,-6.75,-64.75,"nclim",1,3069642200,4.416363,3.329273,1.710911,78.46751,5.336997,0.302758,15.547639,1.402351,1.595526,12.549763
"42",166,231,-6.75,-64.25,"nclim",1,3069642200,4.544543,3.341533,1.774703,79.76434,5.288409,0.313136,16.20251,1.446621,1.646281,13.109609
"43",166,232,-6.75,-63.75,"nclim",1,3069642200,3.906428,3.074102,1.612466,87.015816,5.30019,0.291091,14.553985,1.346925,1.535596,11.671464
"44",166,233,-6.75,-63.25,"nclim",1,3069642200,3.78566,3.044593,1.587804,92.630775,5.360397,0.28572,14.278,1.333584,1.520921,11.423495
"45",166,234,-6.75,-62.75,"nclim",0,3069642200,4.106024,3.174211,1.681095,88.19338,5.349953,0.293958,15.126604,1.400824,1.596758,12.129021
"46",166,235,-6.75,-62.25,"nclim",0,3069642200,3.81011,3.108713,1.605812,86.41192,5.434045,0.280002,14.813326,1.356769,1.552993,11.903564
"47",166,236,-6.75,-61.75,"nclim",0,3069642200,1.556908,1.901421,0.806464,84.098915,5.455596,0.181758,9.254272,0.732193,0.952717,7.569364
"48",166,237,-6.75,-61.25,"nclim",0,3069642200,3.124413,2.576165,1.222431,81.88473,5.284555,0.25433,13.141504,1.049485,1.25603,10.835989
"49",166,238,-6.75,-60.75,"nclim",1,3069642200,5.627778,3.720668,1.90711,76.9052,5.112934,0.32984,17.390652,1.501326,1.698228,14.1911
"50",166,239,-6.75,-60.25,"nclim",1,3069642200,5.470052,3.614326,1.855726,75.25309,4.906624,0.329372,17.14107,1.461043,1.650903,14.029125
"51",166,240,-6.75,-59.75,"nclim",1,3069642200,5.358269,3.539529,1.81874,73.46789,4.750615,0.329167,16.909153,1.433437,1.619329,13.856385
"52",166,241,-6.75,-59.25,"nclim",1,3069642200,5.276812,3.481232,1.795581,72.38154,4.644317,0.32938,16.765242,1.415411,1.599189,13.750644
"53",166,242,-6.75,-58.75,"nclim",1,3069642200,5.156932,3.417186,1.739745,77.98449,4.591455,0.32609,16.27769,1.371712,1.549596,13.356381
"54",166,243,-6.75,-58.25,"nclim",1,3069642200,5.144162,3.423313,1.720849,85.92431,4.678506,0.323157,16.040625,1.357528,1.533353,13.149742
"55",166,244,-6.75,-57.75,"nclim",0,3069642200,3.559868,2.74765,1.342413,91.42914,4.938932,0.270169,13.936008,1.079329,1.258265,11.598414
"56",167,222,-6.25,-68.75,"nclim",0,3072695800,3.359575,2.575485,1.262699,101.79013,4.253519,0.285661,11.933485,1.053411,1.194824,9.685249
"57",167,223,-6.25,-68.25,"nclim",0,3072695800,3.228802,2.526469,1.225535,105.921,4.303837,0.281224,11.510128,1.030523,1.169243,9.310362
"58",167,224,-6.25,-67.75,"nclim",0,3072695800,3.225231,2.548702,1.230529,103.54717,4.361152,0.278413,11.501245,1.038693,1.178861,9.28369
"59",167,225,-6.25,-67.25,"nclim",0,3072695800,3.309574,2.617797,1.274244,102.3219,4.508602,0.279675,11.955154,1.076684,1.222191,9.656281
"60",167,226,-6.25,-66.75,"nclim",1,3072695800,3.752676,2.87582,1.522527,89.65876,4.797976,0.300276,14.345368,1.275458,1.44988,11.620032
"61",167,227,-6.25,-66.25,"nclim",1,3072695800,4.297242,3.114392,1.777138,77.301254,4.906137,0.321199,16.341148,1.471883,1.676344,13.192924
"62",167,228,-6.25,-65.75,"nclim",1,3072695800,4.582277,3.258475,1.93147,67.51193,4.968166,0.329176,17.127289,1.596956,1.822186,13.708146
"63",167,229,-6.25,-65.25,"nclim",1,3072695800,5.059782,3.471395,2.102526,61.057728,5.022557,0.346126,18.547028,1.705532,1.946225,14.89527
"64",167,230,-6.25,-64.75,"nclim",1,3072695800,4.901931,3.498936,1.821087,74.360176,5.215226,0.318204,16.775202,1.464126,1.662422,13.648652
"65",167,231,-6.25,-64.25,"nclim",1,3072695800,4.849758,3.443609,1.803266,78.53426,5.160371,0.319892,16.749344,1.447378,1.643399,13.658566
"66",167,232,-6.25,-63.75,"nclim",1,3072695800,4.468441,3.261082,1.734568,83.676476,5.081921,0.315664,15.966331,1.409428,1.602578,12.954325
"67",167,233,-6.25,-63.25,"nclim",1,3072695800,4.281163,3.197776,1.706562,88.23831,5.203133,0.307514,15.442279,1.402915,1.597288,12.442075
"68",167,234,-6.25,-62.75,"nclim",0,3072695800,4.568242,3.335706,1.789141,86.19754,5.266108,0.314609,16.19217,1.460259,1.661549,13.070362
"69",167,235,-6.25,-62.25,"nclim",0,3072695800,4.933071,3.493998,1.891658,80.56314,5.350271,0.32009,17.382767,1.534878,1.746641,14.101248
"70",167,236,-6.25,-61.75,"nclim",0,3072695800,6.009642,3.920933,2.08871,77.303856,5.448467,0.340989,18.788157,1.646197,1.865185,15.276775
"71",167,237,-6.25,-61.25,"nclim",0,3072695800,5.992428,3.915254,2.077174,74.207344,5.403139,0.339519,18.70349,1.635765,1.85145,15.216274
"72",167,238,-6.25,-60.75,"nclim",1,3072695800,6.011918,3.877018,2.134901,68.01636,5.167506,0.347426,19.191393,1.682225,1.905362,15.603806
"73",167,239,-6.25,-60.25,"nclim",1,3072695800,5.694236,3.746394,1.947842,71.77848,5.077418,0.333792,17.818989,1.532923,1.733264,14.552801
"74",167,240,-6.25,-59.75,"nclim",1,3072695800,5.485569,3.623653,1.861916,71.887856,4.894942,0.330405,17.186913,1.465902,1.656483,14.064528
