nx,ny,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
218,207,13.75,-70.75,PLS_lowprec,1.38476990461349,0.359386503696442,2.23063037395477,0.952139109373093,0.611467903852463,0.667023411393166,1.61916252076626
219,206,13.25,-70.25,PLS_lowprec,2.89729387760162,1.31375168561935,14.7372031211853,0.794026005268097,0.714827197790146,13.2283504486084,14.0223764538765
218,205,12.75,-70.75,PLS_lowprec,2.93881788253784,1.31966928243637,14.782177066803,0.790782296657562,0.730122196674347,13.261274433136,14.0520567297936
204,182,1.25,-77.75,PLS_lowprec,2.95066778659821,1.30880900621414,14.6925720214844,0.790298503637314,0.729199206829071,13.1730736732483,13.9633721768856
219,205,12.75,-70.25,PLS_lowprec,2.98538100719452,1.31064338684082,14.6770611763,0.786739695072174,0.7186851978302,13.1716416358948,13.958381330967
204,183,1.75,-77.75,PLS_lowprec,2.95043959617615,1.2976527929306,14.5500563621521,0.779664701223373,0.73742790222168,13.0329606056213,13.8126253068447
218,204,12.25,-70.75,PLS_lowprec,2.99301030635834,1.30667229890823,14.5895407676697,0.776663100719452,0.736401003599167,13.0764682769775,13.853131377697
207,177,-1.25,-76.25,PLS_lowprec,2.85568072795868,1.27175039052963,14.3648093223572,0.775746405124664,0.717384403944015,12.8716794013977,13.6474258065224
218,206,13.25,-70.75,PLS_lowprec,2.63130171298981,1.24725568294525,13.8110395431519,0.775298303365707,0.697937405109405,12.3377972602844,13.1130955636501
205,182,1.25,-77.25,PLS_lowprec,2.95641179084778,1.27091419696808,14.2903386116028,0.774098896980286,0.708591890335083,12.8076451301575,13.5817440271378
205,183,1.75,-77.25,PLS_lowprec,2.94610750675201,1.26558451652527,14.2215424537659,0.768938195705414,0.711046206951141,12.7415570259094,13.5104952216148
204,181,0.75,-77.75,PLS_lowprec,2.69471840858459,1.24939340353012,13.9348197937012,0.766507494449616,0.720050305128098,12.4482575416565,13.2147650361061
207,178,-0.75,-76.25,PLS_lowprec,2.91047689914703,1.23756432533264,13.9405181884766,0.760925805568695,0.699898999929428,12.479695892334,13.2406216979027
205,181,0.75,-77.25,PLS_lowprec,2.92388751506805,1.25215479135513,14.0703802108765,0.760792905092239,0.715296500921249,12.5942946434021,13.3550875484943
206,178,-0.75,-76.75,PLS_lowprec,2.83160619735718,1.23338499069214,13.9515866279602,0.756978404521942,0.699570608139038,12.4950360298157,13.2520144343376
220,206,13.25,-69.75,PLS_lowprec,2.85692977905273,1.26168479919434,14.2038179397583,0.754754811525345,0.707356691360474,12.7417103767395,13.4964651882648
228,177,-1.25,-65.75,PLS_lowprec,2.78247807025909,1.22374820709229,13.768753528595,0.7521693110466,0.733213096857071,12.2833743095398,13.0355436205864
205,184,2.25,-77.25,PLS_lowprec,2.90074317455292,1.23066841363907,13.8148797988892,0.751048713922501,0.733090901374817,12.3307361602783,13.0817848742008
220,176,-1.75,-69.75,PLS_lowprec,2.83350644111633,1.19515959024429,13.5364018440247,0.749093902111053,0.671605396270752,12.1156976699829,12.864791572094
222,184,2.25,-68.75,PLS_lowprec,2.89011769294739,1.2238520026207,13.7848714828491,0.74840230345726,0.681802093982697,12.3546648979187,13.103067201376
222,185,2.75,-68.75,PLS_lowprec,2.89303636550903,1.22370191812515,13.7689908027649,0.747193503379822,0.684382194280624,12.3374180793762,13.084611582756
206,183,1.75,-76.75,PLS_lowprec,2.87492730617523,1.20954570770264,13.6077397346497,0.746015095710754,0.697118806838989,12.1646008491516,12.9106159448624
221,184,2.25,-69.25,PLS_lowprec,2.88351809978485,1.21892920732498,13.7348850250244,0.745619606971741,0.682884502410889,12.3063775062561,13.0519971132278
208,177,-1.25,-75.75,PLS_lowprec,2.85399675369263,1.21224368810654,13.6655598640442,0.745401000976562,0.71218358874321,12.2079792976379,12.9533802986145
220,182,1.25,-69.75,PLS_lowprec,2.86532731056213,1.21243911981583,13.6894633293152,0.745023208856583,0.679191601276398,12.2652445793152,13.0102677881718
206,182,1.25,-76.75,PLS_lowprec,2.8767030954361,1.20716240406036,13.5840726852417,0.744617795944214,0.701045304536819,12.1384024620056,12.8830202579498
217,204,12.25,-71.25,PLS_lowprec,2.88682539463043,1.26395630836487,14.1480597496033,0.744603896141052,0.737214893102646,12.6662378311157,13.4108417272568
206,177,-1.25,-76.75,PLS_lowprec,2.45359828472137,1.15017820596695,12.6748579978943,0.74460289478302,0.693954598903656,11.2362986564636,11.9809015512466
206,179,-0.25,-76.75,PLS_lowprec,2.87372767925262,1.21317261457443,13.6582668304443,0.744132602214813,0.706180906295776,12.2079489707947,12.9520815730095
218,182,1.25,-70.75,PLS_lowprec,2.86234288215637,1.20797669887543,13.6348017692566,0.743956285715103,0.669348293542862,12.2215003967285,12.9654566824436
219,175,-2.25,-70.25,PLS_lowprec,2.83305361270905,1.18045070171356,13.3276823997498,0.743566900491714,0.676097601652145,11.9080178260803,12.651584726572
219,176,-1.75,-70.25,PLS_lowprec,2.83088517189026,1.1833517074585,13.3719432830811,0.743319201469421,0.676216000318527,11.9524004936218,12.6957196950912
217,181,0.75,-71.25,PLS_lowprec,2.8568638086319,1.20317479372025,13.5790642738342,0.742800998687744,0.666337496042252,12.1699235916138,12.9127245903015
227,177,-1.25,-66.25,PLS_lowprec,2.82837340831757,1.20169830322266,13.5782145500183,0.74239119887352,0.718091702461243,12.1177309989929,12.8601221978664
218,181,0.75,-70.75,PLS_lowprec,2.85002760887146,1.2072007060051,13.6476901054382,0.742390793561935,0.672284007072449,12.2330192565918,12.9754100501537
220,175,-2.25,-69.75,PLS_lowprec,2.81907477378845,1.1756394982338,13.291761302948,0.742333805561066,0.667338508367538,11.8820894241333,12.6244232296944
229,213,16.75,-65.25,PLS_lowprec,2.88508899211884,1.24571348428726,13.9492674827576,0.74228390455246,0.710838603973389,12.4961339950562,13.2384178996087
