ny,nx,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
163,234,-8.25,-62.75,PFT_nclim,0.69998,0.392475,4.931674,0.414697,0.533182,3.983795,4.398492
163,235,-8.25,-62.25,PFT_nclim,0.598258,0.334995,7.59275,0.354466,0.433118,6.805166,7.159632
163,236,-8.25,-61.75,PFT_nclim,2.136161,0.933474,11.569859,0.807651,0.982849,9.779359,10.58701
163,237,-8.25,-61.25,PFT_nclim,4.978325,1.69608,15.869817,1.362493,1.587693,12.919631,14.282124
163,238,-8.25,-60.75,PFT_nclim,5.475245,1.857581,17.061754,1.454827,1.645958,13.960969,15.415796
163,239,-8.25,-60.25,PFT_nclim,5.460489,1.851832,17.023874,1.448033,1.63693,13.93891,15.386943
163,240,-8.25,-59.75,PFT_nclim,5.493315,1.864784,17.118267,1.457629,1.647864,14.012773,15.470402
164,230,-7.75,-64.75,PFT_nclim,2.963517,1.354523,12.073767,1.172516,1.351589,9.549663,10.722179
164,231,-7.75,-64.25,PFT_nclim,2.606899,1.235499,11.303902,1.068724,1.247641,8.987536,10.05626
164,232,-7.75,-63.75,PFT_nclim,1.641327,0.825829,8.124609,0.736294,0.9709,6.417416,7.15371
164,233,-7.75,-63.25,PFT_nclim,1.672931,0.866731,8.699931,0.788414,1.028699,6.882819,7.671233
164,234,-7.75,-62.75,PFT_nclim,1.106794,0.606708,7.790283,0.560709,0.728886,6.500689,7.061398
164,236,-7.75,-61.75,PFT_nclim,0.741174,0.404708,8.647107,0.409791,0.530577,7.706739,8.11653
164,237,-7.75,-61.25,PFT_nclim,2.004337,0.86171,11.305285,0.744462,0.910595,9.650226,10.394688
164,238,-7.75,-60.75,PFT_nclim,5.264371,1.77855,16.591394,1.415445,1.619187,13.556762,14.972207
164,239,-7.75,-60.25,PFT_nclim,5.41186,1.843416,17.042305,1.446396,1.634916,13.960993,15.407389
164,240,-7.75,-59.75,PFT_nclim,5.401251,1.841848,17.052256,1.444596,1.632712,13.974948,15.419544
164,241,-7.75,-59.25,PFT_nclim,5.437968,1.844321,16.995676,1.443992,1.632003,13.919681,15.363673
164,242,-7.75,-58.75,PFT_nclim,5.494886,1.849245,16.923885,1.450396,1.639744,13.833746,15.284142
165,227,-7.25,-66.25,PFT_nclim,3.159094,1.388545,12.367316,1.20091,1.372793,9.793613,10.994523
165,228,-7.25,-65.75,PFT_nclim,3.535204,1.505001,13.467901,1.284229,1.465405,10.718266,12.002495
165,229,-7.25,-65.25,PFT_nclim,3.928308,1.61914,14.563409,1.358161,1.548092,11.657156,13.015317
165,230,-7.25,-64.75,PFT_nclim,3.855206,1.638451,14.784459,1.380674,1.575855,11.82793,13.208604
165,231,-7.25,-64.25,PFT_nclim,3.578775,1.579362,14.232589,1.344206,1.537304,11.35108,12.695286
165,232,-7.25,-63.75,PFT_nclim,3.469693,1.500497,13.497053,1.275989,1.457878,10.763186,12.039175
165,233,-7.25,-63.25,PFT_nclim,3.400465,1.508316,13.848382,1.293027,1.482206,11.073149,12.366176
165,234,-7.25,-62.75,PFT_nclim,2.785998,1.305583,12.687139,1.106621,1.327023,10.253494,11.360115
165,235,-7.25,-62.25,PFT_nclim,0.724901,0.383756,8.057681,0.396573,0.515231,7.145877,7.54245
165,237,-7.25,-61.25,PFT_nclim,0.658245,0.36247,5.742847,0.387997,0.498853,4.855998,5.243995
165,238,-7.25,-60.75,PFT_nclim,3.935383,1.44152,14.757634,1.188721,1.395402,12.173511,13.362232
165,239,-7.25,-60.25,PFT_nclim,5.399728,1.835095,16.987612,1.44377,1.631653,13.912187,15.355957
165,240,-7.25,-59.75,PFT_nclim,5.37415,1.832255,17.028187,1.440796,1.628056,13.959334,15.40013
165,241,-7.25,-59.25,PFT_nclim,5.292699,1.801153,16.797363,1.415584,1.599578,13.7822,15.197784
165,242,-7.25,-58.75,PFT_nclim,5.276353,1.768574,16.363407,1.38882,1.569514,13.405072,14.793892
165,243,-7.25,-58.25,PFT_nclim,5.44699,1.821021,16.65636,1.43048,1.62007,13.605809,15.036289
166,225,-6.75,-67.25,PFT_nclim,3.001153,1.22544,11.221688,1.051984,1.196516,8.973188,10.025172
166,226,-6.75,-66.75,PFT_nclim,3.306455,1.372798,12.643411,1.171182,1.332585,10.139643,11.310825
166,227,-6.75,-66.25,PFT_nclim,3.775246,1.637041,14.78764,1.385254,1.580168,11.822216,13.20747
166,228,-6.75,-65.75,PFT_nclim,3.841108,1.643944,14.714661,1.389938,1.586229,11.738493,13.128431
166,229,-6.75,-65.25,PFT_nclim,4.18317,1.743935,15.670543,1.454231,1.658684,12.557628,14.011859
166,230,-6.75,-64.75,PFT_nclim,4.416363,1.710911,15.547639,1.402351,1.595526,12.549763,13.952114
166,231,-6.75,-64.25,PFT_nclim,4.544543,1.774703,16.20251,1.446621,1.646281,13.109609,14.55623
166,232,-6.75,-63.75,PFT_nclim,3.906428,1.612466,14.553985,1.346925,1.535596,11.671464,13.018389
166,233,-6.75,-63.25,PFT_nclim,3.78566,1.587804,14.278,1.333584,1.520921,11.423495,12.757079
166,234,-6.75,-62.75,PFT_nclim,4.106024,1.681095,15.126604,1.400824,1.596758,12.129021,13.529845
166,235,-6.75,-62.25,PFT_nclim,3.81011,1.605812,14.813326,1.356769,1.552993,11.903564,13.260333
166,236,-6.75,-61.75,PFT_nclim,1.556908,0.806464,9.254272,0.732193,0.952717,7.569364,8.301557
166,237,-6.75,-61.25,PFT_nclim,3.124413,1.222431,13.141504,1.049485,1.25603,10.835989,11.885474
