"","values_baccini","value12","Value_3000"
"1",1.208753,0,0.613122
"2",2.423342,2.157988,2.323004
"3",9.279564,2.571055,2.482992
"4",12.89925,9.997431,7.658316
"5",11.599506,18.151455,12.888613
"6",12.531071,22.099531,13.204413
"7",11.840235,22.052181,13.420178
"8",8.150491,22.204805,13.471797
"9",1.219768,15.598911,7.574152
"10",1.638029,12.323589,6.836509
"11",1.24038,7.347558,4.48473
"12",1.220171,7.71845,5.011175
"13",1.966442,4.459494,3.266227
"14",1.763082,0,3.390723
"15",6.740679,2.677804,2.591907
"16",13.075833,9.010913,7.446411
"17",13.179827,21.007984,12.975594
"18",11.82044,21.957989,13.472331
"19",12.861554,18.530077,13.524672
"20",11.866746,21.968468,13.443261
"21",2.747147,22.021774,13.234563
"22",2.001348,16.185543,8.447501
"23",3.203002,17.597042,9.172542
"24",7.296964,18.970947,9.933742
"25",7.452271,19.15892,9.683388
"26",8.416282,18.409224,9.211692
"27",4.132393,17.503786,9.03235
"28",1.826153,17.511992,8.804691
"29",3.382748,14.103665,7.724854
"30",3.501513,2.76299,2.759338
"31",3.93393,0,0.234907
"32",11.068031,1.965549,2.428178
"33",12.96949,16.247149,12.379566
"34",12.852179,21.864679,13.468348
"35",12.409996,18.52684,13.60658
"36",12.17122,18.33161,13.429863
"37",10.482204,21.069386,13.017436
"38",0.087405,21.645929,12.85804
"39",1.441512,11.876576,8.618937
"40",3.560673,16.099337,9.3807
"41",8.912958,19.147961,9.899787
"42",7.007206,15.331018,9.7458
"43",12.083473,20.420013,10.282806
"44",10.924612,16.57276,10.927123
"45",12.533567,20.857697,11.306976
"46",6.9123,15.330618,10.030699
"47",5.33465,18.589581,9.843362
"48",10.198742,19.713234,10.399295
"49",12.915779,18.722782,9.759459
"50",10.773947,7.219754,4.906307
"51",10.328204,13.54083,8.912975
"52",12.428827,22.707541,13.384742
"53",12.435293,18.540613,13.660143
"54",11.769901,21.671993,13.59991
"55",11.87122,18.298826,13.450722
"56",9.897956,20.739777,13.121086
"57",4.217365,20.517288,12.972644
"58",0.506563,15.085436,11.797374
"59",1.133604,13.00262,9.662374
"60",1.159916,12.470772,9.308513
"61",1.263101,12.409112,9.207741
"62",2.842909,12.934755,9.462133
"63",10.943855,17.895166,10.640886
"64",11.090164,20.855421,11.183174
"65",13.477905,22.631277,10.980192
"66",12.781979,24.65453,11.616999
"67",12.349999,21.492815,12.311531
"68",12.83573,21.279367,12.450953
"69",12.053759,20.409859,11.497955
